teryt,powiat_miasto,zarazenia,zgony,data
0000,Cały kraj,10141.0,540.0,2020-11-23
0201,bolesławiecki,62.0,2.0,2020-11-23
0202,dzierżoniowski,31.0,0.0,2020-11-23
0203,głogowski,19.0,1.0,2020-11-23
0204,górowski,3.0,0.0,2020-11-23
0205,jaworski,30.0,1.0,2020-11-23
0206,jeleniogórski,40.0,3.0,2020-11-23
0207,kamiennogórski,21.0,0.0,2020-11-23
0208,kłodzki,20.0,4.0,2020-11-23
0209,legnicki,28.0,2.0,2020-11-23
0210,lubański,18.0,4.0,2020-11-23
0211,lubiński,50.0,5.0,2020-11-23
0212,lwówecki,17.0,0.0,2020-11-23
0213,milicki,4.0,0.0,2020-11-23
0214,oleśnicki,29.0,1.0,2020-11-23
0215,oławski,19.0,1.0,2020-11-23
0216,polkowicki,8.0,0.0,2020-11-23
0217,strzeliński,21.0,0.0,2020-11-23
0218,średzki,25.0,1.0,2020-11-23
0219,świdnicki,50.0,0.0,2020-11-23
0220,trzebnicki,35.0,0.0,2020-11-23
0221,wałbrzyski,20.0,1.0,2020-11-23
0222,wołowski,5.0,1.0,2020-11-23
0223,wrocławski,48.0,0.0,2020-11-23
0224,ząbkowicki,11.0,2.0,2020-11-23
0225,zgorzelecki,42.0,0.0,2020-11-23
0226,złotoryjski,22.0,0.0,2020-11-23
0261,Jelenia Góra,58.0,4.0,2020-11-23
0262,Legnica,29.0,2.0,2020-11-23
0264,Wrocław,217.0,14.0,2020-11-23
0265,Wałbrzych,51.0,2.0,2020-11-23
0401,aleksandrowski,9.0,1.0,2020-11-23
0402,brodnicki,16.0,0.0,2020-11-23
0403,bydgoski,35.0,2.0,2020-11-23
0404,chełmiński,15.0,0.0,2020-11-23
0405,golubsko-dobrzyński,3.0,0.0,2020-11-23
0406,grudziądzki,11.0,0.0,2020-11-23
0407,inowrocławski,27.0,2.0,2020-11-23
0408,lipnowski,10.0,0.0,2020-11-23
0409,mogileński,2.0,0.0,2020-11-23
0410,nakielski,29.0,0.0,2020-11-23
0411,radziejowski,14.0,0.0,2020-11-23
0412,rypiński,6.0,0.0,2020-11-23
0413,sępoleński,13.0,0.0,2020-11-23
0414,świecki,17.0,0.0,2020-11-23
0415,toruński,16.0,1.0,2020-11-23
0416,tucholski,10.0,0.0,2020-11-23
0417,wąbrzeski,2.0,0.0,2020-11-23
0418,włocławski,14.0,0.0,2020-11-23
0419,żniński,14.0,0.0,2020-11-23
0461,Bydgoszcz,167.0,9.0,2020-11-23
0462,Grudziądz,32.0,0.0,2020-11-23
0463,Toruń,47.0,2.0,2020-11-23
0464,Włocławek,20.0,0.0,2020-11-23
0601,bialski,38.0,3.0,2020-11-23
0602,biłgorajski,17.0,0.0,2020-11-23
0603,chełmski,35.0,0.0,2020-11-23
0604,hrubieszowski,17.0,0.0,2020-11-23
0605,janowski,8.0,0.0,2020-11-23
0606,krasnostawski,5.0,0.0,2020-11-23
0607,kraśnicki,50.0,0.0,2020-11-23
0608,lubartowski,34.0,0.0,2020-11-23
0609,lubelski,65.0,0.0,2020-11-23
0610,łęczyński,24.0,1.0,2020-11-23
0611,łukowski,11.0,0.0,2020-11-23
0612,opolski,21.0,1.0,2020-11-23
0613,parczewski,8.0,0.0,2020-11-23
0614,puławski,28.0,0.0,2020-11-23
0615,radzyński,6.0,1.0,2020-11-23
0616,rycki,8.0,2.0,2020-11-23
0617,świdnicki,23.0,0.0,2020-11-23
0618,tomaszowski,5.0,0.0,2020-11-23
0619,włodawski,19.0,0.0,2020-11-23
0620,zamojski,29.0,0.0,2020-11-23
0661,Biała Podlaska,31.0,0.0,2020-11-23
0662,Chełm,14.0,0.0,2020-11-23
0663,Lublin,162.0,0.0,2020-11-23
0664,Zamość,13.0,0.0,2020-11-23
0801,gorzowski,7.0,0.0,2020-11-23
0802,krośnieński,18.0,0.0,2020-11-23
0803,międzyrzecki,17.0,0.0,2020-11-23
0804,nowosolski,27.0,1.0,2020-11-23
0805,słubicki,9.0,0.0,2020-11-23
0806,strzelecko-drezdenecki,13.0,3.0,2020-11-23
0807,sulęciński,6.0,0.0,2020-11-23
0808,świebodziński,9.0,2.0,2020-11-23
0809,zielonogórski,31.0,0.0,2020-11-23
0810,żagański,25.0,0.0,2020-11-23
0811,żarski,24.0,3.0,2020-11-23
0812,wschowski,8.0,0.0,2020-11-23
0861,Gorzów Wielkopolski,32.0,5.0,2020-11-23
0862,Zielona Góra,41.0,0.0,2020-11-23
1001,bełchatowski,16.0,0.0,2020-11-23
1002,kutnowski,16.0,2.0,2020-11-23
1003,łaski,5.0,0.0,2020-11-23
1004,łęczycki,31.0,1.0,2020-11-23
1005,łowicki,22.0,0.0,2020-11-23
1006,łódzki wschodni,11.0,0.0,2020-11-23
