teryt,powiat_miasto,zarazenia,zgony,ludnosc,zar_10k,zgon_100k
201,bolesawiecki,34,1,89762,3.7877943896080746,1.1140571734141396
202,dzieroniowski,10,0,99935,1.0006504227748036,0.0
203,gogowski,27,2,88447,3.0526756136443294,2.261241195292096
204,growski,49,0,34552,14.181523500810373,0.0
205,jaworski,32,0,49734,6.4342301041541,0.0
206,jeleniogrski,16,0,63333,2.5263290859425576,0.0
207,kamiennogrski,1,0,42824,0.23351391742947877,0.0
208,kodzki,29,0,156283,1.8556080955702154,0.0
209,legnicki,18,0,55110,3.2661948829613503,0.0
210,lubaski,11,0,53852,2.042635371016861,0.0
211,lubiski,32,0,105896,3.0218327415577546,0.0
212,lwwecki,10,0,45599,2.193030548915546,0.0
213,milicki,6,0,36800,1.6304347826086958,0.0
214,olenicki,42,0,107268,3.9154267815191854,0.0
215,oawski,43,0,76733,5.603847106199418,0.0
216,polkowicki,36,1,62997,5.714557836087432,1.5873771766909537
217,strzeliski,11,0,43221,2.545059114782166,0.0
218,redzki,16,0,55508,2.882467392087627,0.0
219,widnicki,45,0,156015,2.8843380444188056,0.0
220,trzebnicki,34,0,85226,3.98939290826743,0.0
221,wabrzyski,11,0,55107,1.9961166457981745,0.0
222,woowski,6,0,46623,1.2869184737146901,0.0
223,wrocawski,94,0,156322,6.013229104028864,0.0
224,zbkowicki,21,0,64080,3.2771535580524347,0.0
225,zgorzelecki,61,0,88386,6.901545493630214,0.0
226,zotoryjski,33,0,43038,7.66764254844556,0.0
261,Jelenia Gra,36,0,78335,4.595646901129763,0.0
262,Legnica,55,1,98436,5.587386728432688,1.0158884960786705
264,Wrocaw,449,4,641928,6.994553906357099,0.6231228424371581
265,Wabrzych,23,0,109971,2.091460475943658,0.0
401,aleksandrowski,32,0,54891,5.829735293581826,0.0
402,brodnicki,15,0,79023,1.8981815420826849,0.0
403,bydgoski,51,0,120432,4.234754882423276,0.0
404,chemiski,9,0,51657,1.7422614553690692,0.0
405,golubsko-dobrzyski,15,0,44855,3.3441087950061306,0.0
406,grudzidzki,9,0,40305,2.232973576479345,0.0
407,inowrocawski,27,0,158496,1.7035130224106603,0.0
408,lipnowski,22,3,65450,3.361344537815126,4.583651642475171
409,mogileski,17,1,45482,3.737742403588233,2.198672002110725
410,nakielski,35,0,86119,4.06414380101952,0.0
411,radziejowski,33,5,40025,8.244846970643348,12.492192379762647
412,rypiski,5,1,43390,1.1523392486748099,2.3046784973496197
