teryt,ludnosc,data
0201,89762,2021-08-07
0202,99935,2021-08-07
0203,88447,2021-08-07
0204,34552,2021-08-07
0205,49734,2021-08-07
0206,63333,2021-08-07
0207,42824,2021-08-07
0208,156283,2021-08-07
0209,55110,2021-08-07
0210,53852,2021-08-07
0211,105896,2021-08-07
0212,45599,2021-08-07
0213,36800,2021-08-07
0214,107268,2021-08-07
0215,76733,2021-08-07
0216,62997,2021-08-07
0217,43221,2021-08-07
0218,55508,2021-08-07
0219,156015,2021-08-07
0220,85226,2021-08-07
0221,55107,2021-08-07
0222,46623,2021-08-07
0223,156322,2021-08-07
0224,64080,2021-08-07
0225,88386,2021-08-07
0226,43038,2021-08-07
0261,78335,2021-08-07
0262,98436,2021-08-07
0264,641928,2021-08-07
0265,109971,2021-08-07
0401,54891,2021-08-07
0402,79023,2021-08-07
0403,120432,2021-08-07
0404,51657,2021-08-07
0405,44855,2021-08-07
0406,40305,2021-08-07
0407,158496,2021-08-07
0408,65450,2021-08-07
0409,45482,2021-08-07
0410,86119,2021-08-07
0411,40025,2021-08-07
0412,43390,2021-08-07
0413,40826,2021-08-07
0414,98703,2021-08-07
0415,109565,2021-08-07
0416,48322,2021-08-07
0417,34040,2021-08-07
0418,85646,2021-08-07
0419,69886,2021-08-07
0461,344091,2021-08-07
0462,93564,2021-08-07
0463,198613,2021-08-07
0464,108561,2021-08-07
0601,109958,2021-08-07
0602,100333,2021-08-07
0603,77502,2021-08-07
0604,62009,2021-08-07
0605,45142,2021-08-07
0606,62552,2021-08-07
0607,94531,2021-08-07
0608,87850,2021-08-07
0609,156493,2021-08-07
0610,57218,2021-08-07
0611,106213,2021-08-07
0612,58706,2021-08-07
0613,34372,2021-08-07
0614,112384,2021-08-07
0615,58298,2021-08-07
0616,55530,2021-08-07
0617,71432,2021-08-07
0618,81944,2021-08-07
0619,37989,2021-08-07
0620,105354,2021-08-07
0661,56942,2021-08-07
0662,61135,2021-08-07
0663,338586,2021-08-07
0664,62785,2021-08-07
0801,72291,2021-08-07
0802,54598,2021-08-07
0803,57100,2021-08-07
0804,85733,2021-08-07
0805,46944,2021-08-07
0806,48621,2021-08-07
0807,35000,2021-08-07
0808,55520,2021-08-07
0809,75673,2021-08-07
0810,78148,2021-08-07
0811,95423,2021-08-07
0812,38613,2021-08-07
0861,122589,2021-08-07
0862,140892,2021-08-07
1001,112443,2021-08-07
1002,95516,2021-08-07
1003,49736,2021-08-07
1004,49286,2021-08-07
1005,77614,2021-08-07
1006,72565,2021-08-07
1007,75524,2021-08-07
1008,118941,2021-08-07
1009,50952,2021-08-07
1010,91208,2021-08-07
1011,40906,2021-08-07
1012,111696,2021-08-07
1013,48385,2021-08-07
1014,116918,2021-08-07
1015,38173,2021-08-07
1016,115735,2021-08-07
1017,75736,2021-08-07
1018,41984,2021-08-07
1019,66064,2021-08-07
1020,165850,2021-08-07
1021,30648,2021-08-07
1061,672185,2021-08-07
1062,72250,2021-08-07
1063,47655,2021-08-07
1201,106947,2021-08-07
1202,93035,2021-08-07
1203,123664,2021-08-07
1204,58977,2021-08-07
1205,108487,2021-08-07
1206,281440,2021-08-07
1207,132148,2021-08-07
1208,48464,2021-08-07
1209,127972,2021-08-07
1210,217071,2021-08-07
1211,191646,2021-08-07
1212,110471,2021-08-07
1213,152687,2021-08-07
1214,43057,2021-08-07
1215,83761,2021-08-07
1216,201230,2021-08-07
1217,68049,2021-08-07
1218,159662,2021-08-07
1219,130651,2021-08-07
1261,779966,2021-08-07
1262,83558,2021-08-07
1263,107498,2021-08-07
1401,33329,2021-08-07
1402,88891,2021-08-07
1403,108634,2021-08-07
1404,44581,2021-08-07
1405,97462,2021-08-07
1406,97979,2021-08-07
1407,59592,2021-08-07
1408,119882,2021-08-07
1409,33598,2021-08-07
1410,30556,2021-08-07
1411,44438,2021-08-07
1412,154951,2021-08-07
1413,72269,2021-08-07
1414,79265,2021-08-07
1415,88497,2021-08-07
1416,71790,2021-08-07
1417,124283,2021-08-07
1418,190606,2021-08-07
1419,110742,2021-08-07
1420,86671,2021-08-07
1421,166679,2021-08-07
1422,52101,2021-08-07
1423,41126,2021-08-07
1424,51741,2021-08-07
1425,152190,2021-08-07
1426,81385,2021-08-07
1427,51534,2021-08-07
1428,84804,2021-08-07
1429,53294,2021-08-07
1430,39340,2021-08-07
1432,120144,2021-08-07
1433,65410,2021-08-07
1434,252408,2021-08-07
1435,74210,2021-08-07
1436,35875,2021-08-07
1437,38202,2021-08-07
1438,75370,2021-08-07
1461,51656,2021-08-07
1462,118268,2021-08-07
1463,209296,2021-08-07
1464,77813,2021-08-07
1465,1794166,2021-08-07
1601,89282,2021-08-07
1602,45015,2021-08-07
1603,93001,2021-08-07
1604,65026,2021-08-07
1605,63196,2021-08-07
1606,42543,2021-08-07
1607,134864,2021-08-07
1608,63788,2021-08-07
1609,123532,2021-08-07
1610,54765,2021-08-07
1611,73923,2021-08-07
1661,127839,2021-08-07
1801,21489,2021-08-07
1802,65373,2021-08-07
1803,134991,2021-08-07
1804,119727,2021-08-07
1805,112863,2021-08-07
1806,62039,2021-08-07
1807,111905,2021-08-07
1808,68996,2021-08-07
1809,54711,2021-08-07
1810,81226,2021-08-07
1811,136441,2021-08-07
1812,66221,2021-08-07
1813,73919,2021-08-07
1814,77979,2021-08-07
1815,74573,2021-08-07
1816,170550,2021-08-07
1817,93818,2021-08-07
1818,105431,2021-08-07
1819,61161,2021-08-07
1820,52720,2021-08-07
1821,26375,2021-08-07
1861,45944,2021-08-07
1862,59779,2021-08-07
1863,196638,2021-08-07
1864,46360,2021-08-07
2001,57651,2021-08-07
2002,150845,2021-08-07
2003,53695,2021-08-07
2004,46792,2021-08-07
2005,41991,2021-08-07
2006,37887,2021-08-07
2007,50819,2021-08-07
2008,40070,2021-08-07
2009,19689,2021-08-07
2010,43618,2021-08-07
2011,65883,2021-08-07
2012,35577,2021-08-07
2013,56408,2021-08-07
2014,43191,2021-08-07
2061,296958,2021-08-07
2062,62573,2021-08-07
2063,69639,2021-08-07
2201,79114,2021-08-07
2202,97661,2021-08-07
2203,55835,2021-08-07
2204,120327,2021-08-07
2205,141892,2021-08-07
2206,72923,2021-08-07
2207,82963,2021-08-07
2208,66083,2021-08-07
2209,63204,2021-08-07
2210,35438,2021-08-07
2211,87568,2021-08-07
2212,98832,2021-08-07
2213,128210,2021-08-07
2214,115220,2021-08-07
2215,219457,2021-08-07
2216,41104,2021-08-07
2261,470805,2021-08-07
2262,244969,2021-08-07
2263,89780,2021-08-07
2264,35286,2021-08-07
2401,147259,2021-08-07
2402,166348,2021-08-07
2403,177536,2021-08-07
2404,134106,2021-08-07
2405,115416,2021-08-07
2406,84330,2021-08-07
2407,76109,2021-08-07
2408,99202,2021-08-07
2409,70486,2021-08-07
2410,111814,2021-08-07
2411,107410,2021-08-07
2412,78166,2021-08-07
2413,140780,2021-08-07
2414,59823,2021-08-07
2415,156579,2021-08-07
2416,116672,2021-08-07
2417,152199,2021-08-07
2461,169756,2021-08-07
2462,163255,2021-08-07
2463,106846,2021-08-07
2464,217530,2021-08-07
2465,118285,2021-08-07
2466,177049,2021-08-07
2467,88038,2021-08-07
2468,90368,2021-08-07
2469,290553,2021-08-07
2470,74559,2021-08-07
2471,54702,2021-08-07
2472,136423,2021-08-07
2473,137128,2021-08-07
2474,66270,2021-08-07
2475,197586,2021-08-07
2476,49108,2021-08-07
2477,126871,2021-08-07
2478,170924,2021-08-07
2479,62844,2021-08-07
2601,71125,2021-08-07
2602,84908,2021-08-07
2603,33340,2021-08-07
2604,210992,2021-08-07
2605,79072,2021-08-07
2606,51525,2021-08-07
2607,107711,2021-08-07
2608,38487,2021-08-07
2609,76346,2021-08-07
2610,73163,2021-08-07
2611,88549,2021-08-07
2612,71250,2021-08-07
2613,44743,2021-08-07
2661,193415,2021-08-07
2801,56562,2021-08-07
2802,40776,2021-08-07
2803,64768,2021-08-07
2804,56986,2021-08-07
2805,91395,2021-08-07
2806,56227,2021-08-07
2807,92644,2021-08-07
2808,61772,2021-08-07
2809,40852,2021-08-07
2810,49439,2021-08-07
2811,32638,2021-08-07
2812,43721,2021-08-07
2813,33993,2021-08-07
2814,127544,2021-08-07
2815,103492,2021-08-07
2816,55833,2021-08-07
2817,69089,2021-08-07
2818,26489,2021-08-07
2819,22444,2021-08-07
2861,118582,2021-08-07
2862,171249,2021-08-07
3001,46824,2021-08-07
3002,86590,2021-08-07
3003,145068,2021-08-07
3004,75732,2021-08-07
3005,51929,2021-08-07
3006,71425,2021-08-07
3007,82911,2021-08-07
3008,56298,2021-08-07
3009,86108,2021-08-07
3010,129904,2021-08-07
3011,78866,2021-08-07
3012,76998,2021-08-07
3013,57911,2021-08-07
3014,36633,2021-08-07
3015,75576,2021-08-07
3016,59821,2021-08-07
3017,161357,2021-08-07
3018,55265,2021-08-07
3019,135477,2021-08-07
3020,62763,2021-08-07
3021,406590,2021-08-07
3022,60188,2021-08-07
3023,58959,2021-08-07
3024,91745,2021-08-07
3025,59149,2021-08-07
3026,61492,2021-08-07
3027,83599,2021-08-07
3028,70096,2021-08-07
3029,57431,2021-08-07
3030,78037,2021-08-07
3031,69161,2021-08-07
3061,99106,2021-08-07
3062,72539,2021-08-07
3063,62854,2021-08-07
3064,532048,2021-08-07
3201,47304,2021-08-07
3202,47970,2021-08-07
3203,56482,2021-08-07
3204,82310,2021-08-07
3205,59844,2021-08-07
3206,81289,2021-08-07
3207,46692,2021-08-07
3208,79300,2021-08-07
3209,66505,2021-08-07
3210,65373,2021-08-07
3211,81584,2021-08-07
3212,39202,2021-08-07
3213,55777,2021-08-07
3214,120132,2021-08-07
3215,77258,2021-08-07
3216,46394,2021-08-07
3217,52707,2021-08-07
3218,36486,2021-08-07
3261,106235,2021-08-07
3262,398255,2021-08-07
3263,40948,2021-08-07
