teryt,powiat,%_glosy
0201,bolesławiecki,6.728391814403703
0202,dzierżoniowski,5.642640381499989
0203,głogowski,5.287057264181047
0204,górowski,5.55720433298709
0205,jaworski,5.388888888888889
0206,jeleniogórski,6.06261607853542
0207,kamiennogórski,5.293329761585856
0208,kłodzki,5.637007437323133
0209,legnicki,6.0309428014434445
0210,lubański,6.137954584258153
0211,lubiński,5.8131680375094374
0212,lwówecki,6.33646178050236
0213,milicki,5.568794682051925
0214,oleśnicki,6.841130932346011
0215,oławski,7.060996143609799
0216,polkowicki,6.263554493659254
0217,strzeliński,5.51212870038832
0218,średzki,7.077906119439666
0219,świdnicki,6.298452324312222
0220,trzebnicki,6.875979574295971
0221,wałbrzyski,5.144857251296757
0222,wołowski,6.42952891612409
0223,wrocławski,7.344440220739557
0224,ząbkowicki,4.4757885384273655
0225,zgorzelecki,5.897955999375878
0226,złotoryjski,4.545454545454546
0261,Jelenia Góra,5.226102037118525
0262,Legnica,6.35346655239298
0264,Wrocław,8.006505511614007
0265,Wałbrzych,4.2406839951143205
0401,aleksandrowski,6.222837583169878
0402,brodnicki,4.711767067033069
0403,bydgoski,8.219581294381692
0404,chełmiński,6.704353862937618
0405,golubsko-dobrzyński,6.1985286043702645
0406,grudziądzki,6.185498368732938
0407,inowrocławski,5.8241158950120955
0408,lipnowski,4.9138558602281
0409,mogileński,5.6271256312480675
0410,nakielski,7.311611241742246
0411,radziejowski,4.531485387164809
0412,rypiński,5.719470787963939
0413,sępoleński,6.140845070422536
0414,świecki,7.253623004492271
0415,toruński,7.3933175365752914
0416,tucholski,7.757487216946676
0417,wąbrzeski,6.619313888469095
0418,włocławski,5.246315542246491
0419,żniński,5.722402597402597
0461,Bydgoszcz,7.461009094996022
0462,Grudziądz,6.316812439261418
0463,Toruń,7.673247542162896
0464,Włocławek,5.866715002114676
0601,bialski,5.352044225745702
0602,biłgorajski,6.796370615948351
0603,chełmski,6.034281132012429
0604,hrubieszowski,4.5751891551071875
0605,janowski,5.333998005982054
0606,krasnostawski,6.022898796156537
0607,kraśnicki,4.966102498459205
0608,lubartowski,9.079242861726017
0609,lubelski,7.209731428961935
0610,łęczyński,7.716566866267464
0611,łukowski,6.007435247977775
0612,opolski,5.966634738186462
0613,parczewski,6.636818540953385
0614,puławski,7.862924986508364
0615,radzyński,5.552607640994542
0616,rycki,5.133641250851821
0617,świdnicki,6.569691188744485
0618,tomaszowski,5.550057960360768
0619,włodawski,5.410639714337591
0620,zamojski,5.264642082429502
0661,Biała Podlaska,6.690425453743846
0662,Chełm,6.303745291734773
0663,Lublin,7.793348550954954
0664,Zamość,6.0115002613695765
0801,gorzowski,7.937288858276756
0802,krośnieński,5.227882037533512
0803,międzyrzecki,7.091630273648784
0804,nowosolski,7.479382705968808
0805,słubicki,7.154088050314465
0806,strzelecko-drezdenecki,5.827145214521452
0807,sulęciński,7.67667972718038
0808,świebodziński,7.570817631367236
0809,zielonogórski,7.654230451920433
0810,żagański,7.5112637449195
0811,żarski,8.47271520134828
0812,wschowski,6.495238095238095
0861,Gorzów Wielkopolski,7.490781387181738
0862,Zielona Góra,6.387912860154603
1001,bełchatowski,10.000178766155992
1002,kutnowski,5.257368107439153
1003,łaski,6.61512027491409
1004,łęczycki,4.879472101270369
1005,łowicki,5.594592428330973
1006,łódzki wschodni,7.739169085157006
1007,opoczyński,4.6446220166123435
1008,pabianicki,6.706823407493766
1009,pajęczański,5.412538573980835
1010,piotrkowski,6.508767098136419
1011,poddębicki,4.961851871074894
1012,radomszczański,5.813505813505813
1013,rawski,6.385839121667041
1014,sieradzki,6.190330642406372
1015,skierniewicki,6.555044867585905
1016,tomaszowski,6.4601706460170645
1017,wieluński,5.329690044437084
1018,wieruszowski,6.90822010515904
1019,zduńskowolski,6.23931082536264
1020,zgierski,5.774097351756585
1021,brzeziński,6.788179320511961
1061,Łódź,6.5275823053784805
1062,Piotrków Trybunalski,6.383096716947649
1063,Skierniewice,6.894995898277275
1201,bocheński,6.618790683384858
1202,brzeski,8.438996900535361
1203,chrzanowski,7.154660427676249
1204,dąbrowski,6.55513552642162
1205,gorlicki,6.1370289246893615
1206,krakowski,7.8097299452485895
1207,limanowski,6.855826959453902
1208,miechowski,5.693530079455165
1209,myślenicki,8.023116908274948
1210,nowosądecki,6.526520236497101
1211,nowotarski,7.731067345136046
1212,olkuski,6.8244485294117645
1213,oświęcimski,6.25435046018201
1214,proszowicki,5.628547403825941
1215,suski,7.657819225251076
1216,tarnowski,6.458158333969695
1217,tatrzański,7.724235377233522
1218,wadowicki,6.72877170518834
1219,wielicki,8.261928099408733
1261,Kraków,8.314332001496863
1262,Nowy Sącz,7.014475857378801
1263,Tarnów,7.101816960787971
1401,białobrzeski,4.370651486401012
1402,ciechanowski,5.115019625378844
1403,garwoliński,5.605697094329563
1404,gostyniński,5.03926051088361
1405,grodziski,6.48813195121466
1406,grójecki,6.521420648374877
1407,kozienicki,5.124175861715575
1408,legionowski,5.626168517965718
1409,lipski,6.722341086341363
1410,łosicki,7.051552184295547
1411,makowski,5.757333865495909
1412,miński,7.232736836676809
1413,mławski,6.091006807595844
1414,nowodworski,5.946017116524029
1415,ostrołęcki,6.180652806204891
1416,ostrowski,5.21418065019662
1417,otwocki,6.948536042806469
1418,piaseczyński,6.237675560384724
1419,płocki,4.958454507685916
1420,płoński,4.910627684633504
1421,pruszkowski,6.399594429882752
1422,przasnyski,5.018486788709533
1423,przysuski,5.311577010603787
1424,pułtuski,5.31611604896864
1425,radomski,5.870877712593268
1426,siedlecki,6.723336500680552
1427,sierpecki,4.3733681462141
1428,sochaczewski,5.883960061596542
1429,sokołowski,5.702178276708052
1430,szydłowiecki,5.495757161569566
1432,warszawski zachodni,6.635308090200184
1433,węgrowski,6.277610602471349
1434,wołomiński,7.706860740335228
1435,wyszkowski,7.25729626742877
1436,zwoleński,5.629471570227188
1437,żuromiński,3.866528648846131
1438,żyrardowski,6.282271944922548
1461,Ostrołęka,7.443703085904921
1462,Płock,5.06567559311679
1463,Radom,6.158866017311826
1464,Siedlce,7.6949020625243225
1465,Warszawa,6.373965674394815
1498,statki,13.294797687861271
1499,zagranica,11.385122557364738
1601,brzeski,6.438310265728499
1602,głubczycki,4.8769961156668105
1603,kędzierzyńsko-kozielski,6.177284574253701
1604,kluczborski,6.314064702968411
1605,krapkowicki,5.947019867549669
1606,namysłowski,5.589960886571056
1607,nyski,5.0882211041422565
1608,oleski,5.639396346306593
1609,opolski,5.375799404799595
1610,prudnicki,5.470469767224017
1611,strzelecki,5.276872964169381
1661,Opole,5.992924165512998
1801,bieszczadzki,7.702060221870048
1802,brzozowski,6.575437380911138
1803,dębicki,7.145687073105023
1804,jarosławski,6.119424828948813
