teryt,powiat,ludnosc,zaszczepieni,%_zaszczepieni
0201,bolesławiecki,89762,41298,46.00833314765714
0202,dzierżoniowski,99935,46326,46.35613148546555
0203,głogowski,88447,46845,52.96392189672912
0204,górowski,34552,15699,45.4358647835147
0205,jaworski,49734,23902,48.05967748421603
0206,karkonoski,63333,30938,48.849730788056775
0207,kamiennogórski,42824,22651,52.893237436951246
0208,kłodzki,156283,75503,48.311716565461374
0209,legnicki,55110,26633,48.32698239883869
0210,lubański,53852,26759,49.68989081185472
0211,lubiński,105896,54285,51.2625594923321
0212,lwówecki,45599,21781,47.76639838592951
0213,milicki,36800,18814,51.125
0214,oleśnicki,107268,54960,51.23615616959392
0215,oławski,76733,41034,53.476340036229516
0216,polkowicki,62997,28963,45.97520516850009
0217,strzeliński,43221,22216,51.40093935818236
0218,średzki,55508,28223,50.844923254305684
0219,świdnicki,156015,80209,51.41108226773067
0220,trzebnicki,85226,45130,52.953324102973276
0221,wałbrzyski,55107,27449,49.810368918649175
0222,wołowski,46623,22629,48.53613023614954
0223,wrocławski,156322,90397,57.82743311881885
0224,ząbkowicki,64080,30569,47.70443196004994
0225,zgorzelecki,88386,41894,47.398909329531826
0226,złotoryjski,43038,21720,50.467029137041685
0261,Jelenia Góra,78335,43576,55.62775260100848
0262,Legnica,98436,51398,52.21463692145149
0264,Wrocław,641928,429669,66.93414214678282
0265,Wałbrzych,109971,58488,53.1849305726055
0401,aleksandrowski,54891,29985,54.62644149314095
0402,brodnicki,79023,40327,51.031978031712285
0403,bydgoski,120432,66737,55.41467384083965
0404,chełmiński,51657,26954,52.1787947422421
0405,golubsko-dobrzyński,44855,23084,51.46360494928102
0406,grudziądzki,40305,19765,49.03858082123806
0407,inowrocławski,158496,88310,55.717494447809415
0408,lipnowski,65450,30894,47.20244461420932
0409,mogileński,45482,22569,49.621828415636955
0410,nakielski,86119,44640,51.8352512221461
0411,radziejowski,40025,22288,55.68519675202999
0412,rypiński,43390,22511,51.88061765383729
0413,sępoleński,40826,20856,51.08509283299858
0414,świecki,98703,49559,50.2102266395145
0415,toruński,109565,57352,52.345183224569894
0416,tucholski,48322,23551,48.7376350316626
0417,wąbrzeski,34040,17218,50.58166862514688
0418,włocławski,85646,42631,49.775821404385496
0419,żniński,69886,35894,51.36078756832556
0461,Bydgoszcz,344091,204518,59.43718376824735
0462,Grudziądz,93564,51486,55.0275747082211
0463,Toruń,198613,117939,59.38130938055415
0464,Włocławek,108561,56368,51.922882066303735
0601,bialski,109958,44890,40.82467851361429
0602,biłgorajski,100333,38133,38.006438559596546
0603,chełmski,77502,30147,38.89835101029651
0604,hrubieszowski,62009,29053,46.85287619539099
0605,janowski,45142,17417,38.58269460812547
0606,krasnostawski,62552,27902,44.60608773500447
0607,kraśnicki,94531,38289,40.50417323417715
0608,lubartowski,87850,33048,37.61866818440524
0609,lubelski,156493,70326,44.938751254049706
0610,łęczyński,57218,22082,38.59275053304904
0611,łukowski,106213,39456,37.14799506651728
0612,opolski,58706,25603,43.61223725002555
0613,parczewski,34372,14232,41.40579541487257
