data,teryt,powiat,ludnosc,zaszczepieni,%_zaszczepieni
2021-08-07,0201,bolesławiecki,89762,38348,42.72186448608542
2021-08-07,0202,dzierżoniowski,99935,43075,43.103016961024665
2021-08-07,0203,głogowski,88447,44008,49.75635126120728
2021-08-07,0204,górowski,34552,14612,42.28988191711044
2021-08-07,0205,jaworski,49734,22474,45.188402300237264
2021-08-07,0206,karkonoski,63333,28941,45.69655629766473
2021-08-07,0207,kamiennogórski,42824,21163,49.4185503456006
2021-08-07,0208,kłodzki,156283,70765,45.280036856215965
2021-08-07,0209,legnicki,55110,25154,45.64325893667211
2021-08-07,0210,lubański,53852,24910,46.25640644730001
2021-08-07,0211,lubiński,105896,51496,48.62884339351817
2021-08-07,0212,lwówecki,45599,20102,44.08430009430032
2021-08-07,0213,milicki,36800,17449,47.41576086956522
2021-08-07,0214,oleśnicki,107268,51526,48.034828653466086
2021-08-07,0215,oławski,76733,38611,50.31863735289901
2021-08-07,0216,polkowicki,62997,27013,42.87981967395273
2021-08-07,0217,strzeliński,43221,20746,47.999814904791656
2021-08-07,0218,średzki,55508,26285,47.35353462563955
2021-08-07,0219,świdnicki,156015,74626,47.832580200621734
2021-08-07,0220,trzebnicki,85226,42535,49.90847863328092
2021-08-07,0221,wałbrzyski,55107,26003,47.18638285517267
2021-08-07,0222,wołowski,46623,21500,46.11457864144307
2021-08-07,0223,wrocławski,156322,85399,54.63018641010222
2021-08-07,0224,ząbkowicki,64080,28365,44.26498127340824
2021-08-07,0225,zgorzelecki,88386,38652,43.73090760980246
2021-08-07,0226,złotoryjski,43038,20483,47.59282494539709
2021-08-07,0261,Jelenia Góra,78335,41142,52.52058466841131
2021-08-07,0262,Legnica,98436,48441,49.21065463854688
2021-08-07,0264,Wrocław,641928,410477,63.94439874876934
2021-08-07,0265,Wałbrzych,109971,55600,50.558783679333644
2021-08-07,0401,aleksandrowski,54891,27977,50.968282596418355
2021-08-07,0402,brodnicki,79023,37112,46.9635422598484
2021-08-07,0403,bydgoski,120432,62910,52.236946990833
2021-08-07,0404,chełmiński,51657,24860,48.12513308941673
2021-08-07,0405,golubsko-dobrzyński,44855,21260,47.39716865455356
2021-08-07,0406,grudziądzki,40305,17856,44.302195757350205
2021-08-07,0407,inowrocławski,158496,82592,52.109832424793055
2021-08-07,0408,lipnowski,65450,28361,43.33231474407945
2021-08-07,0409,mogileński,45482,20734,45.58726529176377
2021-08-07,0410,nakielski,86119,41704,48.426015165062296
2021-08-07,0411,radziejowski,40025,20701,51.720174890693315
2021-08-07,0412,rypiński,43390,20760,47.84512560497811
2021-08-07,0413,sępoleński,40826,19502,47.768578846813305
2021-08-07,0414,świecki,98703,45036,45.627792468314034
2021-08-07,0415,toruński,109565,53198,48.55382649568749
2021-08-07,0416,tucholski,48322,21992,45.511361284715036
2021-08-07,0417,wąbrzeski,34040,15645,45.96063454759107
2021-08-07,0418,włocławski,85646,39725,46.38278495201177
2021-08-07,0419,żniński,69886,33361,47.73631342472026
2021-08-07,0461,Bydgoszcz,344091,194451,56.51150422417326
2021-08-07,0462,Grudziądz,93564,48291,51.61279979479288
2021-08-07,0463,Toruń,198613,112359,56.57182561060958
2021-08-07,0464,Włocławek,108561,53422,49.20920035740275
2021-08-07,0601,bialski,109958,41098,37.37608905218356
2021-08-07,0602,biłgorajski,100333,35317,35.199784716892744
2021-08-07,0603,chełmski,77502,27702,35.74359371371062
2021-08-07,0604,hrubieszowski,62009,26528,42.780886645486945
2021-08-07,0605,janowski,45142,15968,35.372823534624075
2021-08-07,0606,krasnostawski,62552,25583,40.898772221511706
2021-08-07,0607,kraśnicki,94531,35640,37.701917889369625
2021-08-07,0608,lubartowski,87850,30166,34.338076266363124
2021-08-07,0609,lubelski,156493,65311,41.73413507313426
2021-08-07,0610,łęczyński,57218,20639,36.07081687580831
2021-08-07,0611,łukowski,106213,36049,33.94028979503451
2021-08-07,0612,opolski,58706,23532,40.08448880863966
2021-08-07,0613,parczewski,34372,13250,38.54881880600489
2021-08-07,0614,puławski,112384,53740,47.81819476082004
2021-08-07,0615,radzyński,58298,19689,33.77302823424475
2021-08-07,0616,rycki,55530,25158,45.30524041058887
2021-08-07,0617,świdnicki,71432,31850,44.587859782730426
2021-08-07,0618,tomaszowski,81944,32460,39.612418236844675
2021-08-07,0619,włodawski,37989,16473,43.3625523177762
2021-08-07,0620,zamojski,105354,39418,37.414811018091385
2021-08-07,0661,Biała Podlaska,56942,25337,44.49615398124408
2021-08-07,0662,Chełm,61135,28170,46.07835118998937
2021-08-07,0663,Lublin,338586,176791,52.21450384835759
2021-08-07,0664,Zamość,62785,28495,45.38504419845504
2021-08-07,0801,gorzowski,72291,33164,45.87569683639734
2021-08-07,0802,krośnieński,54598,26161,47.91567456683395
2021-08-07,0803,międzyrzecki,57100,28633,50.14535901926445
2021-08-07,0804,nowosolski,85733,40676,47.4449745138978
2021-08-07,0805,słubicki,46944,23192,49.403544648943424
2021-08-07,0806,strzelecko-drezdenecki,48621,23228,47.77359577137451
2021-08-07,0807,sulęciński,35000,16411,46.88857142857143
2021-08-07,0808,świebodziński,55520,27418,49.38400576368876
2021-08-07,0809,zielonogórski,75673,37824,49.98348155881226
2021-08-07,0810,żagański,78148,36632,46.87515995290986
2021-08-07,0811,żarski,95423,45004,47.162633746581015
2021-08-07,0812,wschowski,38613,16272,42.141247766296324
2021-08-07,0861,Gorzów Wielkopolski,122589,63773,52.02179640913948
2021-08-07,0862,Zielona Góra,140892,78400,55.64545893308349
2021-08-07,1001,bełchatowski,112443,46813,41.632649431267396
2021-08-07,1002,kutnowski,95516,49207,51.51702332593492
2021-08-07,1003,łaski,49736,22607,45.45399710471288
2021-08-07,1004,łęczycki,49286,23431,47.54088382096336
2021-08-07,1005,łowicki,77614,39183,50.48444868193882
2021-08-07,1006,łódzki wschodni,72565,35789,49.31992007165989
2021-08-07,1007,opoczyński,75524,33306,44.09988877707748
2021-08-07,1008,pabianicki,118941,61011,51.295179963175016
2021-08-07,1009,pajęczański,50952,21863,42.909012403831056
2021-08-07,1010,piotrkowski,91208,39865,43.70778879045697
2021-08-07,1011,poddębicki,40906,19135,46.77797878061898
2021-08-07,1012,radomszczański,111696,51016,45.67397221028506
2021-08-07,1013,rawski,48385,20619,42.61444662602047
2021-08-07,1014,sieradzki,116918,53474,45.7363280247695
2021-08-07,1015,skierniewicki,38173,16331,42.78154716684568
2021-08-07,1016,tomaszowski,115735,53233,45.99559338143172
2021-08-07,1017,wieluński,75736,36278,47.900602091475655
