teryt,municipality,%_vaccinated
1405021,Podkowa Leśna,69.4817
3024083,gm.m-w. Wronki,68.8696
3208072,gm.w Ustronie Morskie,68.0951
1421062,gm.w Raszyn,67.8713
1465011,M. St. Warszawa,67.7337
3064011,Poznań,67.0659
0264011,Wrocław,65.3355
1421042,gm.w Michałowice,65.1925
1418023,gm.m-w. Konstancin-Jeziorna,64.4815
1261011,Kraków,64.2304
1418043,gm.m-w. Piaseczno,64.0454
1418032,gm.w Lesznowola,63.8694
2261011,Gdańsk,63.5745
3011011,Kościan,63.5731
3021021,Puszczykowo,63.5509
3021152,gm.w Suchy Las,63.1104
1432053,gm.m-w. Łomianki,63.0031
0411011,Radziejów,62.9751
1421011,Piastów,62.8308
3021011,Luboń,62.4707
2210011,Krynica Morska,62.093
3024011,Obrzycko,61.9706
3021172,gm.w Tarnowo Podgórne,61.8618
1421021,Pruszków,61.8367
1432013,gm.m-w. Błonie,61.7723
3002011,Czarnków,61.2003
2262011,Gdynia,61.1694
3021143,gm.m-w. Stęszew,61.1438
1432022,gm.w Izabelin,60.9564
2264011,Sopot,60.9534
3021163,gm.m-w. Swarzędz,60.9508
1421033,gm.m-w. Brwinów,60.913
1408011,Legionowo,60.8829
3021042,gm.w Czerwonak,60.7559
0223052,gm.w Kobierzyce,60.7204
1421052,gm.w Nadarzyn,60.719
3205072,gm.w Rewal,60.54
1206172,gm.w Zielonki,60.3377
3021132,gm.w Rokietnica,60.1676
2401042,gm.w Bobrowniki,60.1551
2469011,Katowice,59.8858
3021052,gm.w Dopiewo,59.8711
1206082,gm.w Michałowice,59.758
3021123,gm.m-w. Pobiedziska,59.6851
3024073,gm.m-w. Szamotuły,59.6297
1061011,Łódź,59.486
0403062,gm.w Osielsko,59.3862
1432063,gm.m-w. Ożarów Mazowiecki,59.3438
1432072,gm.w Stare Babice,59.3369
1408022,gm.w Jabłonna,59.2108
1417011,Józefów,59.1052
1002011,Kutno,59.081
3021072,gm.w Komorniki,59.0074
1417043,gm.m-w. Karczew,58.9831
2401062,gm.w Psary,58.942
3001011,Chodzież,58.9391
1408032,gm.w Nieporęt,58.9246
1405011,Milanówek,58.9149
3021033,gm.m-w. Buk,58.9048
2401031,Wojkowice,58.8262
0401021,Ciechocinek,58.7906
1412151,Sulejówek,58.784
1432042,gm.w Leszno,58.7801
1434041,Zielonka,58.7785
1206152,gm.w Wielka Wieś,58.7677
2204011,Pruszcz Gdański,58.7118
1414011,Nowy Dwór Mazowiecki,58.6177
1213082,gm.w Przeciszów,58.614
3207013,gm.m-w. Dziwnów,58.5174
3021083,gm.m-w. Kostrzyn,58.3404
1020011,Głowno,58.2766
3023011,Słupca,58.2203
3025043,gm.m-w. Środa Wielkopolska,58.201
1004011,Łęczyca,58.1967
0461011,Bydgoszcz,58.1378
2212011,Ustka,58.0762
3021113,gm.m-w. Murowana Goślina,58.0746
0463011,Toruń,58.0672
3021103,gm.m-w. Mosina,57.9649
2208021,Łeba,57.9497
3024053,gm.m-w. Ostroróg,57.8382
1206103,gm.m-w. Skała,57.8035
3211012,gm.w Dobra (Szczecińska),57.775
2475011,Sosnowiec,57.7642
3021093,gm.m-w. Kórnik,57.6305
1005011,Łowicz,57.6104
1206162,gm.w Zabierzów,57.5282
3014012,gm.w Chrzypsko Wielkie,57.4713
0223022,gm.w Długołęka,57.4664
3262011,Szczecin,57.4659
0862011,Zielona Góra,57.4617
1020031,Zgierz,57.4282
3024032,gm.w Kaźmierz,57.3982
0223083,gm.m-w. Siechnice,57.3026
1208042,gm.w Książ Wielki,57.1769
2211031,Puck,57.1595
2204032,gm.w Kolbudy,57.1098
0411022,gm.w Bytoń,57.08
2401021,Czeladź,57.0637
1206092,gm.w Mogilany,57.0547
3014043,gm.m-w. Sieraków,57.042
1418052,gm.w Prażmów,56.992
2408021,Mikołów,56.9763
0206011,Karpacz,56.92
1418013,gm.m-w. Góra Kalwaria,56.8999
0407011,Inowrocław,56.8714
2416011,Poręba,56.8609
1417021,Otwock,56.8473
1412011,Mińsk Mazowiecki,56.8384
1063011,Skierniewice,56.8041
1213011,Oświęcim,56.7276
2211043,gm.m-w. Władysławowo,56.6468
2465011,Dąbrowa Górnicza,56.6082
2609093,gm.m-w. Zawichost,56.5619
1408043,gm.m-w. Serock,56.5449
0221031,Szczawno-Zdrój,56.5414
1414052,gm.w Pomiechówek,56.4825
1434031,Ząbki,56.4546
2401011,Będzin,56.4312
1215021,Sucha Beskidzka,56.391
1462011,Płock,56.3314
1661011,Opole,56.2622
0418011,Kowal,56.2572
0412011,Rypin,56.2473
3208011,Kołobrzeg,56.2427
0811011,Łęknica,56.177
0401011,Aleksandrów Kujawski,56.1702
2405032,gm.w Gierałtowice,56.1378
2477011,Tychy,56.0861
2862011,Olsztyn,56.0745
2401073,gm.m-w. Siewierz,56.0668
3003011,Gniezno,56.0619
1213072,gm.w Polanka Wielka,56.0445
0403012,gm.w Białe Błota,56.0372
0403083,gm.m-w. Solec Kujawski,55.9933
2402022,gm.w Bestwina,55.9916
2803011,Działdowo,55.9754
3030033,gm.m-w. Nekla,55.9669
3005012,gm.w Granowo,55.9662
1405043,gm.m-w. Grodzisk Mazowiecki,55.8921
2211052,gm.w Kosakowo,55.8865
2602023,gm.m-w. Jędrzejów,55.8831
0223043,gm.m-w. Kąty Wrocławskie,55.8159
0223012,gm.w Czernica,55.7943
2466011,Gliwice,55.7795
2401052,gm.w Mierzęcice,55.7654
2203011,Człuchów,55.746
0407063,gm.m-w. Kruszwica,55.6859
1213062,gm.w Oświęcim,55.6552
3016013,gm.m-w. Oborniki,55.6501
1005092,gm.w Nieborów,55.6375
2461011,Bielsko-Biała,55.601
3011023,gm.m-w. Czempiń,55.598
1203033,gm.m-w. Chrzanów,55.5968
2413072,gm.w Świerklaniec,55.5538
0402011,Brodnica,55.5137
3021062,gm.w Kleszczewo,55.464
0223092,gm.w Żórawina,55.4445
2474011,Siemianowice Śląskie,55.4429
3207043,gm.m-w. Międzyzdroje,55.4236
1206113,gm.m-w. Skawina,55.4182
2209011,Malbork,55.4132
0809072,gm.w Świdnica,55.3927
2263011,Słupsk,55.3653
0805053,gm.m-w. Słubice,55.3586
1008011,Konstantynów Łódzki,55.2877
3004063,gm.m-w. Pogorzela,55.2476
1418063,gm.m-w. Tarczyn,55.2355
2801011,Bartoszyce,55.2167
3213011,Darłowo,55.1938
2661011,Kielce,55.1788
0807043,gm.m-w. Sulęcin,55.1781
1212053,gm.m-w. Olkusz,55.1736
3062011,Konin,55.1428
2807011,Iława,55.1286
3263011,Świnoujście,55.1065
1014011,Sieradz,55.0882
0208051,Polanica-Zdrój,55.0739
1206032,gm.w Iwanowice,55.0733
3202012,gm.w Bierzwnik,55.0364
0214011,Oleśnica,55.0123
3028011,Wągrowiec,54.9615
2413031,Radzionków,54.9607
2204042,gm.w Pruszcz Gdański,54.9497
0611021,Stoczek Łukowski,54.9194
2215021,Rumia,54.9156
0215011,Oława,54.9128
2413062,gm.w Ożarowice,54.9087
3019011,Piła,54.9051
1428082,gm.w Teresin,54.8778
2416021,Zawiercie,54.8529
3027011,Turek,54.8429
1206052,gm.w Kocmyrzów-Luborzyca,54.8315
1008052,gm.w Ksawerów,54.8231
3030053,gm.m-w. Września,54.7833
3022053,gm.m-w. Rawicz,54.7279
2413041,Tarnowskie Góry,54.7105
2464011,Częstochowa,54.7083
1212042,gm.w Klucze,54.6985
1008021,Pabianice,54.6751
2471011,Piekary Śląskie,54.6214
2809011,Lidzbark Warmiński,54.613
1406053,gm.m-w. Grójec,54.5939
2214011,Tczew,54.5684
1402011,Ciechanów,54.5678
3063011,Leszno,54.5645
3023042,gm.w Ostrowite,54.5509
0404011,Chełmno,54.5275
1419122,gm.w Słupno,54.5209
1213033,gm.m-w. Chełmek,54.5143
3006023,gm.m-w. Jarocin,54.5032
1417072,gm.w Sobienie-Jeziory,54.4997
3209053,gm.m-w. Mielno,54.497
1428011,Sochaczew,54.4956
0401062,gm.w Koneck,54.4956
2405011,Knurów,54.4933
0219011,Świdnica,54.4805
0220013,gm.m-w. Oborniki Śląskie,54.4782
2472011,Ruda Śląska,54.4754
1408052,gm.w Wieliszew,54.4509
3202023,gm.m-w. Choszczno,54.415
2404042,gm.w Kamienica Polska,54.407
0810021,Żagań,54.3598
2414021,Imielin,54.3532
2402043,gm.m-w. Czechowice-Dziedzice,54.3196
2609011,Sandomierz,54.3027
0417011,Wąbrzeźno,54.2985
0861011,Gorzów Wielkopolski,54.2806
3015043,gm.m-w. Nowy Tomyśl,54.273
1208072,gm.w Słaboszów,54.2013
3261011,Koszalin,54.1959
2404162,gm.w Starcza,54.1886
2602063,gm.m-w. Sędziszów,54.1775
2401081,Sławków,54.1745
0261011,Jelenia Góra,54.1533
1208053,gm.m-w. Miechów,54.15
3025052,gm.w Zaniemyśl,54.1451
2602093,gm.m-w. Wodzisław,54.1419
0805043,gm.m-w. Rzepin,54.1331
