wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_ zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2599;2469;68,3767;64,9566
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1194701;1145841;66,5881;63,8648
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;349994;334755;65,7824;62,9182
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14389;13612;65,4909;61,9544
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;12736;11813;66,747;61,9098
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;411816;395408;64,153;61,5969
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;11762;11261;64,0597;61,3311
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;15647;14889;63,5514;60,4728
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;491570;471604;63,0245;60,4647
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;54052;51593;62,693;59,8409
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;5966;5725;62,3081;59,7911
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;293419;281299;62,3228;59,7485
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11520;11048;62,2299;59,6802
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;18531;17578;62,2535;59,052
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17059;16354;61,5737;59,0291
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2317;2127;64,0586;58,8056
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3372;3227;61,3202;58,6834
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;779;756;60,3876;58,6047
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;13811;13201;61,2217;58,5177
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;19657;18677;61,3993;58,3383
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;14558;13835;61,3847;58,3361
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;17546;16706;60,696;57,7902
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21148;20311;59,9331;57,5611
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;147009;140285;60,0113;57,2664
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;37762;35807;60,3005;57,1787
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6338;6038;60,0189;57,178
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;31861;30462;59,521;56,9075
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14053;13467;59,3204;56,8468
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;31174;29668;59,7134;56,8287
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;12922;12269;59,7964;56,7746
4;kujawsko-pomorskie;403;bydgoski;403062;gm.w Osielsko;Bydgoski;15347;8984;8704;58,5391;56,7147
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6292;5930;60,13;56,6705
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;16010;15188;59,7121;56,6463
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1428;1349;59,8742;56,5618
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7122;6841;58,7527;56,4346
24;śląskie;2469;Katowice;2469011;Katowice;;290553;170590;163796;58,7122;56,3739
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;16428;15658;59,1361;56,3643
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;17162;16446;58,5175;56,0761
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;8961;8465;59,2463;55,9669
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11415;10815;59,0655;55,9609
4;kujawsko-pomorskie;401;aleksandrowski;401021;Ciechocinek;Włocławski;10534;6098;5894;57,8887;55,9522
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;12995;12354;58,6576;55,7642
10;łódzkie;1061;Łódź;1061011;Łódź;;672185;391927;374652;58,3064;55,7364
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6378;6041;58,4655;55,3763
14;mazowieckie;1408;legionowski;1408022;gm.w Jabłonna;Warszawski;20096;11636;11117;57,9021;55,3195
24;śląskie;2401;będziński;2401062;gm.w Psary;Katowicki;12268;7104;6783;57,9067;55,2902
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;8380;7930;58,385;55,2498
12;małopolskie;1206;krakowski;1206152;gm.w Wielka Wieś;Krakowski;13162;7599;7262;57,7344;55,174
14;mazowieckie;1412;miński;1412151;Sulejówek;Warszawski;19951;11486;10999;57,571;55,1301
14;mazowieckie;1432;warszawski zachodni;1432072;gm.w Stare Babice;Warszawski;19605;11372;10794;58,0056;55,0574
12;małopolskie;1213;oświęcimski;1213082;gm.w Przeciszów;Bielski;6739;3870;3709;57,4269;55,0378
14;mazowieckie;1408;legionowski;1408032;gm.w Nieporęt;Warszawski;14841;8600;8161;57,9476;54,9896
14;mazowieckie;1417;otwocki;1417011;Józefów;Warszawski;20741;11978;11402;57,7503;54,9732
10;łódzkie;1002;kutnowski;1002011;Kutno;;43332;24979;23791;57,6456;54,904
30;wielkopolskie;3024;szamotulski;3024073;gm.m-w. Szamotuły;;30188;17453;16572;57,8144;54,896
14;mazowieckie;1405;grodziski;1405011;Milanówek;Warszawski;16478;9525;9039;57,8043;54,855
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2235;2113;58,0218;54,8546
4;kujawsko-pomorskie;463;Toruń;463011;Toruń;;198613;112948;108652;56,8684;54,7054
30;wielkopolskie;3021;poznański;3021072;gm.w Komorniki;;31474;18110;17210;57,5396;54,6801
22;pomorskie;2208;lęborski;2208021;Łeba;Słupski;3541;1999;1936;56,453;54,6738
4;kujawsko-pomorskie;461;Bydgoszcz;461011;Bydgoszcz;;344091;195267;187936;56,7487;54,6181
14;mazowieckie;1434;wołomiński;1434041;Zielonka;Warszawski;17486;10001;9542;57,1943;54,5694
14;mazowieckie;1414;nowodworski;1414011;Nowy Dwór Mazowiecki;Warszawski;28691;16434;15632;57,2793;54,484
32;zachodniopomorskie;3207;kamieński;3207013;gm.m-w. Dziwnów;Szczeciński;3939;2254;2146;57,2226;54,4808
12;małopolskie;1206;krakowski;1206103;gm.m-w. Skała;Krakowski;10553;6005;5732;56,9033;54,3163
30;wielkopolskie;3001;chodzieski;3001011;Chodzież;Pilski;18229;10393;9882;57,0135;54,2103
24;śląskie;2475;Sosnowiec;2475011;Sosnowiec;;197586;111492;107056;56,4271;54,182
14;mazowieckie;1432;warszawski zachodni;1432063;gm.m-w. Ożarów Mazowiecki;Warszawski;26151;14958;14158;57,1986;54,1394
2;dolnośląskie;223;wrocławski;223022;gm.w Długołęka;;35144;19849;18995;56,4791;54,0491
14;mazowieckie;1432;warszawski zachodni;1432042;gm.w Leszno;Warszawski;10165;5736;5479;56,4289;53,9006
30;wielkopolskie;3023;słupecki;3023011;Słupca;Koniński;13564;7629;7290;56,2445;53,7452
24;śląskie;2401;będziński;2401031;Wojkowice;Katowicki;8877;5026;4769;56,6182;53,7231
12;małopolskie;1206;krakowski;1206162;gm.w Zabierzów;Krakowski;27065;15166;14538;56,0355;53,7151
32;zachodniopomorskie;3211;policki;3211012;gm.w Dobra (Szczecińska);Szczeciński;25061;14076;13455;56,167;53,689
8;lubuskie;862;Zielona Góra;862011;Zielona Góra;;140892;78689;75617;55,8506;53,6702
22;pomorskie;2204;gdański;2204011;Pruszcz Gdański;;31578;17911;16946;56,7199;53,6639
10;łódzkie;1004;łęczycki;1004011;Łęczyca;Płocki;13786;7766;7392;56,3325;53,6196
10;łódzkie;1005;łowicki;1005011;Łowicz;Skierniewicki;27896;15701;14956;56,2841;53,6134
14;mazowieckie;1417;otwocki;1417043;gm.m-w. Karczew;Warszawski;15930;9076;8536;56,9743;53,5844
30;wielkopolskie;3021;poznański;3021103;gm.m-w. Mosina;;33767;18994;18092;56,2502;53,5789
22;pomorskie;2212;słupski;2212011;Ustka;Słupski;15199;8561;8140;56,3261;53,5562
32;zachodniopomorskie;3262;Szczecin;3262011;Szczecin;;398255;222658;213183;55,9084;53,5293
24;śląskie;2408;mikołowski;2408021;Mikołów;;41003;22840;21941;55,7032;53,5107
2;dolnośląskie;221;wałbrzyski;221031;Szczawno-Zdrój;Wałbrzyski;5534;3079;2961;55,6379;53,5056
2;dolnośląskie;223;wrocławski;223083;gm.m-w. Siechnice;Wrocławski;24142;13525;12906;56,0227;53,4587
24;śląskie;2401;będziński;2401021;Czeladź;;31039;17385;16576;56,0102;53,4038
10;łódzkie;1063;Skierniewice;1063011;Skierniewice;;47655;26586;25448;55,7885;53,4005
30;wielkopolskie;3021;poznański;3021123;gm.m-w. Pobiedziska;Poznański;19943;11383;10645;57,0777;53,3771
12;małopolskie;1206;krakowski;1206092;gm.w Mogilany;Krakowski;14423;8003;7688;55,4878;53,3038
30;wielkopolskie;3021;poznański;3021093;gm.m-w. Kórnik;;30909;17329;16468;56,0646;53,279
12;małopolskie;1213;oświęcimski;1213011;Oświęcim;;37569;20817;20014;55,41;53,2726
30;wielkopolskie;3021;poznański;3021083;gm.m-w. Kostrzyn;Poznański;18764;10627;9995;56,635;53,2669
14;mazowieckie;1414;nowodworski;1414052;gm.w Pomiechówek;Warszawski;9086;5050;4836;55,58;53,2247
4;kujawsko-pomorskie;407;inowrocławski;407011;Inowrocław;;71674;39679;38127;55,3604;53,195
10;łódzkie;1020;zgierski;1020031;Zgierz;;55673;31253;29588;56,1367;53,146
30;wielkopolskie;3021;poznański;3021033;gm.m-w. Buk;Poznański;12673;7337;6730;57,8947;53,105
24;śląskie;2416;zawierciański;2416011;Poręba;Katowicki;8461;4665;4487;55,1353;53,0316
12;małopolskie;1208;miechowski;1208042;gm.w Książ Wielki;Kielecki;5030;2834;2667;56,3419;53,0219
14;mazowieckie;1418;piaseczyński;1418052;gm.w Prażmów;Warszawski;11363;6342;6020;55,8127;52,979
14;mazowieckie;1418;piaseczyński;1418013;gm.m-w. Góra Kalwaria;Warszawski;27044;15013;14327;55,5132;52,9766
30;wielkopolskie;3024;szamotulski;3024053;gm.m-w. Ostroróg;Poznański;4931;2740;2612;55,5668;52,971
16;opolskie;1661;Opole;1661011;Opole;;127839;70483;67669;55,1342;52,933
30;wielkopolskie;3025;średzki;3025043;gm.m-w. Środa Wielkopolska;;32874;18538;17389;56,3911;52,8959
30;wielkopolskie;3021;poznański;3021113;gm.m-w. Murowana Goślina;Poznański;16942;9426;8945;55,6369;52,7978
4;kujawsko-pomorskie;418;włocławski;418011;Kowal;Włocławski;3468;1905;1830;54,9308;52,7682
22;pomorskie;2211;pucki;2211031;Puck;Gdański;11139;6154;5873;55,2473;52,7247
24;śląskie;2465;Dąbrowa Górnicza;2465011;Dąbrowa Górnicza;;118285;65252;62362;55,1651;52,7218
14;mazowieckie;1417;otwocki;1417021;Otwock;;44317;24646;23327;55,613;52,6367
4;kujawsko-pomorskie;403;bydgoski;403083;gm.m-w. Solec Kujawski;Bydgoski;16777;9185;8825;54,7476;52,6018
30;wielkopolskie;3024;szamotulski;3024032;gm.w Kaźmierz;Poznański;8840;4879;4644;55,1923;52,5339
24;śląskie;2401;będziński;2401011;Będzin;;56008;30851;29421;55,0832;52,53
28;warmińsko-mazurskie;2862;Olsztyn;2862011;Olsztyn;;171249;94155;89955;54,9813;52,5288
14;mazowieckie;1412;miński;1412011;Mińsk Mazowiecki;;40916;22798;21487;55,719;52,5149
24;śląskie;2405;gliwicki;2405032;gm.w Gierałtowice;Katowicki;12252;6704;6429;54,7176;52,4731
24;śląskie;2466;Gliwice;2466011;Gliwice;;177049;96534;92857;54,5239;52,4471
4;kujawsko-pomorskie;401;aleksandrowski;401011;Aleksandrów Kujawski;Włocławski;12058;6616;6317;54,8681;52,3885
14;mazowieckie;1462;Płock;1462011;Płock;;118268;64356;61901;54,4154;52,3396
2;dolnośląskie;223;wrocławski;223012;gm.w Czernica;Wrocławski;17638;9635;9231;54,6264;52,3359
32;zachodniopomorskie;3208;kołobrzeski;3208011;Kołobrzeg;;46198;25251;24178;54,6582;52,3356
22;pomorskie;2204;gdański;2204032;gm.w Kolbudy;Gdański;18165;10117;9501;55,695;52,3039
14;mazowieckie;1408;legionowski;1408043;gm.m-w. Serock;Warszawski;15363;8430;8031;54,8721;52,2749
12;małopolskie;1215;suski;1215021;Sucha Beskidzka;Bielski;9044;4938;4723;54,5997;52,2225
4;kujawsko-pomorskie;403;bydgoski;403012;gm.w Białe Błota;Bydgoski;23206;12662;12097;54,5635;52,1288
24;śląskie;2401;będziński;2401073;gm.m-w. Siewierz;Katowicki;12387;6720;6455;54,2504;52,1111
12;małopolskie;1203;chrzanowski;1203033;gm.m-w. Chrzanów;;46321;24974;24131;53,9151;52,0952
28;warmińsko-mazurskie;2803;działdowski;2803011;Działdowo;Ciechanowski;21145;11502;11005;54,3958;52,0454
24;śląskie;2474;Siemianowice Śląskie;2474011;Siemianowice Śląskie;;66270;35829;34488;54,0652;52,0416
24;śląskie;2401;będziński;2401052;gm.w Mierzęcice;Katowicki;7623;4145;3966;54,3749;52,0268
24;śląskie;2477;Tychy;2477011;Tychy;;126871;69226;66003;54,5641;52,0237
2;dolnośląskie;206;karkonoski;206011;Karpacz;Jeleniogórski;4487;2439;2327;54,357;51,8609
14;mazowieckie;1405;grodziski;1405043;gm.m-w. Grodzisk Mazowiecki;;49948;27198;25897;54,4526;51,8479
30;wielkopolskie;3021;poznański;3021062;gm.w Kleszczewo;Poznański;9343;5229;4842;55,967;51,8249
24;śląskie;2413;tarnogórski;2413072;gm.w Świerklaniec;Katowicki;12505;6755;6480;54,0184;51,8193
10;łódzkie;1014;sieradzki;1014011;Sieradz;;41390;22377;21442;54,0638;51,8048
12;małopolskie;1213;oświęcimski;1213062;gm.w Oświęcim;Bielski;18629;10209;9634;54,8017;51,7151
10;łódzkie;1020;zgierski;1020011;Głowno;Łódzki;13961;7892;7216;56,5289;51,6868
2;dolnośląskie;223;wrocławski;223043;gm.m-w. Kąty Wrocławskie;Wrocławski;26032;14212;13452;54,5943;51,6749
14;mazowieckie;1434;wołomiński;1434031;Ząbki;;38546;20964;19914;54,387;51,6629
26;świętokrzyskie;2661;Kielce;2661011;Kielce;;193415;104670;99825;54,1168;51,6118
30;wielkopolskie;3003;gnieźnieński;3003011;Gniezno;;67570;36655;34858;54,2474;51,588
22;pomorskie;2211;pucki;2211052;gm.w Kosakowo;Gdański;16419;8892;8470;54,1568;51,5866
12;małopolskie;1212;olkuski;1212053;gm.m-w. Olkusz;;48206;25950;24860;53,8315;51,5703
4;kujawsko-pomorskie;407;inowrocławski;407063;gm.m-w. Kruszwica;Bydgoski;19012;10268;9790;54,008;51,4938
14;mazowieckie;1418;piaseczyński;1418063;gm.m-w. Tarczyn;Warszawski;11594;6235;5959;53,7778;51,3973
24;śląskie;2413;tarnogórski;2413041;Tarnowskie Góry;;61756;33007;31735;53,4474;51,3877
26;świętokrzyskie;2602;jędrzejowski;2602023;gm.m-w. Jędrzejów;Kielecki;27715;14938;14242;53,8986;51,3873
22;pomorskie;2211;pucki;2211043;gm.m-w. Władysławowo;Gdański;15293;8277;7858;54,1228;51,383
22;pomorskie;2203;człuchowski;2203011;Człuchów;Słupski;13479;7259;6925;53,8541;51,3762
22;pomorskie;2263;Słupsk;2263011;Słupsk;;89780;48216;46107;53,7046;51,3555
24;śląskie;2461;Bielsko-Biała;2461011;Bielsko-Biała;;169756;91453;87173;53,8732;51,3519
28;warmińsko-mazurskie;2801;bartoszycki;2801011;Bartoszyce;Olsztyński;22984;12344;11790;53,7069;51,2966
26;świętokrzyskie;2609;sandomierski;2609093;gm.m-w. Zawichost;Tarnobrzeski;4328;2337;2219;53,9972;51,2708
28;warmińsko-mazurskie;2807;iławski;2807011;Iława;;33206;17762;17013;53,4903;51,2347
24;śląskie;2413;tarnogórski;2413062;gm.w Ożarowice;Katowicki;5806;3114;2974;53,6342;51,2229
24;śląskie;2413;tarnogórski;2413031;Radzionków;Katowicki;16903;8971;8655;53,0734;51,2039
2;dolnośląskie;220;trzebnicki;220013;gm.m-w. Oborniki Śląskie;Wrocławski;20287;10835;10387;53,4086;51,2003
2;dolnośląskie;214;oleśnicki;214011;Oleśnica;;36979;19808;18928;53,5655;51,1858
4;kujawsko-pomorskie;402;brodnicki;402011;Brodnica;Toruński;28701;15421;14683;53,7298;51,1585
4;kujawsko-pomorskie;412;rypiński;412011;Rypin;Włocławski;15999;8662;8182;54,1409;51,1407
12;małopolskie;1213;oświęcimski;1213033;gm.m-w. Chełmek;Bielski;12837;6845;6560;53,3224;51,1023
24;śląskie;2405;gliwicki;2405011;Knurów;;37801;20078;19315;53,115;51,0965
2;dolnośląskie;215;oławski;215011;Oława;;33087;17788;16897;53,7613;51,0684
24;śląskie;2402;bielski;2402022;gm.w Bestwina;Katowicki;11950;6411;6102;53,6485;51,0628
8;lubuskie;809;zielonogórski;809072;gm.w Świdnica;Zielonogórski;6685;3555;3412;53,1788;51,0396
10;łódzkie;1008;pabianicki;1008011;Konstantynów Łódzki;Łódzki;18335;9896;9356;53,9733;51,0281
12;małopolskie;1212;olkuski;1212042;gm.w Klucze;Katowicki;14909;8015;7606;53,7595;51,0162
2;dolnośląskie;208;kłodzki;208051;Polanica-Zdrój;Wałbrzyski;6228;3332;3176;53,5003;50,9955
24;śląskie;2472;Ruda Śląska;2472011;Ruda Śląska;;136423;72608;69536;53,2227;50,9709
26;świętokrzyskie;2609;sandomierski;2609011;Sandomierz;Tarnobrzeski;22997;12187;11709;52,9939;50,9153
12;małopolskie;1206;krakowski;1206032;gm.w Iwanowice;Krakowski;9215;4934;4691;53,5431;50,9061
12;małopolskie;1206;krakowski;1206113;gm.m-w. Skawina;;43751;23508;22267;53,7313;50,8948
24;śląskie;2464;Częstochowa;2464011;Częstochowa;;217530;115927;110622;53,2924;50,8537
22;pomorskie;2209;malborski;2209011;Malbork;;38101;20407;19362;53,5603;50,8176
4;kujawsko-pomorskie;411;radziejowski;411022;gm.w Bytoń;Włocławski;3411;1871;1733;54,8519;50,8062
30;wielkopolskie;3016;obornicki;3016013;gm.m-w. Oborniki;;34185;18287;17368;53,4942;50,8059
24;śląskie;2404;częstochowski;2404042;gm.w Kamienica Polska;Częstochowski;5514;2903;2800;52,6478;50,7798
10;łódzkie;1008;pabianicki;1008052;gm.w Ksawerów;Łódzki;7661;4094;3888;53,4395;50,7506
