wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2605;2477;68,5346;65,1671
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1196169;1147826;66,6699;63,9755
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;350384;335296;65,8557;63,0199
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;12749;11854;66,8152;62,1246
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14422;13645;65,6411;62,1046
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;412447;396220;64,2513;61,7234
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;11778;11284;64,1468;61,4563
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;15666;14942;63,6286;60,688
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;492168;472449;63,1012;60,573
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;54136;51702;62,7904;59,9673
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;5977;5736;62,423;59,906
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;293929;281888;62,4312;59,8736
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11528;11061;62,2731;59,7504
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;18561;17631;62,3543;59,23
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17089;16379;61,682;59,1193
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3393;3244;61,7021;58,9925
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2331;2131;64,4457;58,9162
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;13830;13226;61,3059;58,6285
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;779;756;60,3876;58,6047
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;19697;18739;61,5243;58,5319
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;14596;13876;61,5449;58,509
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;17559;16724;60,741;57,8525
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21174;20338;60,0068;57,6376
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;147231;140562;60,1019;57,3795
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;37827;35903;60,4043;57,332
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6354;6049;60,1705;57,2822
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6326;5965;60,4549;57,005
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;12938;12310;59,8704;56,9644
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;31892;30488;59,5789;56,956
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;31238;29730;59,836;56,9475
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14058;13486;59,3415;56,927
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1431;1357;60;56,8973
4;kujawsko-pomorskie;403;bydgoski;403062;gm.w Osielsko;Bydgoski;15347;8993;8726;58,5978;56,858
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;16031;15216;59,7904;56,7507
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;16449;15724;59,2117;56,6019
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7128;6852;58,8022;56,5253
24;śląskie;2469;Katowice;2469011;Katowice;;290553;170745;163986;58,7655;56,4393
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;17176;16463;58,5652;56,1341
4;kujawsko-pomorskie;401;aleksandrowski;401021;Ciechocinek;Włocławski;10534;6107;5901;57,9742;56,0186
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11419;10823;59,0862;56,0023
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;8964;8470;59,2661;56
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;13009;12379;58,7208;55,877
10;łódzkie;1061;Łódź;1061011;Łódź;;672185;392499;375554;58,3915;55,8706
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6382;6056;58,5022;55,5138
24;śląskie;2401;będziński;2401062;gm.w Psary;Katowicki;12268;7109;6799;57,9475;55,4206
14;mazowieckie;1408;legionowski;1408022;gm.w Jabłonna;Warszawski;20096;11646;11128;57,9518;55,3742
12;małopolskie;1206;krakowski;1206152;gm.w Wielka Wieś;Krakowski;13162;7606;7277;57,7876;55,288
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;8391;7935;58,4616;55,2846
14;mazowieckie;1432;warszawski zachodni;1432072;gm.w Stare Babice;Warszawski;19605;11395;10832;58,1229;55,2512
14;mazowieckie;1412;miński;1412151;Sulejówek;Warszawski;19951;11492;11005;57,6011;55,1601
12;małopolskie;1213;oświęcimski;1213082;gm.w Przeciszów;Bielski;6739;3877;3717;57,5308;55,1566
14;mazowieckie;1417;otwocki;1417011;Józefów;Warszawski;20741;11999;11424;57,8516;55,0793
14;mazowieckie;1408;legionowski;1408032;gm.w Nieporęt;Warszawski;14841;8624;8170;58,1093;55,0502
10;łódzkie;1002;kutnowski;1002011;Kutno;;43332;25027;23835;57,7564;55,0055
30;wielkopolskie;3024;szamotulski;3024073;gm.m-w. Szamotuły;;30188;17459;16588;57,8342;54,949
14;mazowieckie;1405;grodziski;1405011;Milanówek;Warszawski;16478;9531;9052;57,8408;54,9339
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2236;2116;58,0478;54,9325
30;wielkopolskie;3021;poznański;3021072;gm.w Komorniki;;31474;18150;17268;57,6666;54,8643
4;kujawsko-pomorskie;463;Toruń;463011;Toruń;;198613;113070;108867;56,9298;54,8136
4;kujawsko-pomorskie;461;Bydgoszcz;461011;Bydgoszcz;;344091;195536;188323;56,8268;54,7306
14;mazowieckie;1434;wołomiński;1434041;Zielonka;Warszawski;17486;10035;9561;57,3888;54,678
22;pomorskie;2208;lęborski;2208021;Łeba;Słupski;3541;2000;1936;56,4812;54,6738
14;mazowieckie;1414;nowodworski;1414011;Nowy Dwór Mazowiecki;Warszawski;28691;16458;15672;57,3629;54,6234
32;zachodniopomorskie;3207;kamieński;3207013;gm.m-w. Dziwnów;Szczeciński;3939;2254;2151;57,2226;54,6078
12;małopolskie;1206;krakowski;1206103;gm.m-w. Skała;Krakowski;10553;6018;5753;57,0264;54,5153
24;śląskie;2475;Sosnowiec;2475011;Sosnowiec;;197586;111679;107258;56,5217;54,2842
30;wielkopolskie;3001;chodzieski;3001011;Chodzież;Pilski;18229;10415;9895;57,1342;54,2816
14;mazowieckie;1432;warszawski zachodni;1432063;gm.m-w. Ożarów Mazowiecki;Warszawski;26151;15005;14190;57,3783;54,2618
2;dolnośląskie;223;wrocławski;223022;gm.w Długołęka;;35144;19876;19023;56,5559;54,1287
14;mazowieckie;1432;warszawski zachodni;1432042;gm.w Leszno;Warszawski;10165;5759;5499;56,6552;54,0974
24;śląskie;2401;będziński;2401031;Wojkowice;Katowicki;8877;5035;4801;56,7196;54,0836
32;zachodniopomorskie;3211;policki;3211012;gm.w Dobra (Szczecińska);Szczeciński;25061;14122;13499;56,3505;53,8646
8;lubuskie;862;Zielona Góra;862011;Zielona Góra;;140892;78923;75854;56,0167;53,8384
30;wielkopolskie;3023;słupecki;3023011;Słupca;Koniński;13564;7657;7302;56,4509;53,8337
12;małopolskie;1206;krakowski;1206162;gm.w Zabierzów;Krakowski;27065;15184;14569;56,102;53,8297
22;pomorskie;2204;gdański;2204011;Pruszcz Gdański;;31578;17947;16988;56,8339;53,7969
10;łódzkie;1005;łowicki;1005011;Łowicz;Skierniewicki;27896;15719;14994;56,3486;53,7496
14;mazowieckie;1417;otwocki;1417043;gm.m-w. Karczew;Warszawski;15930;9102;8561;57,1375;53,7414
30;wielkopolskie;3021;poznański;3021103;gm.m-w. Mosina;;33767;19038;18146;56,3805;53,7389
22;pomorskie;2212;słupski;2212011;Ustka;Słupski;15199;8574;8159;56,4116;53,6812
10;łódzkie;1004;łęczycki;1004011;Łęczyca;Płocki;13786;7773;7399;56,3833;53,6704
32;zachodniopomorskie;3262;Szczecin;3262011;Szczecin;;398255;223025;213655;56,0006;53,6478
2;dolnośląskie;221;wałbrzyski;221031;Szczawno-Zdrój;Wałbrzyski;5534;3082;2965;55,6921;53,5779
24;śląskie;2408;mikołowski;2408021;Mikołów;;41003;22860;21968;55,752;53,5766
2;dolnośląskie;223;wrocławski;223083;gm.m-w. Siechnice;Wrocławski;24142;13550;12931;56,1263;53,5623
24;śląskie;2401;będziński;2401021;Czeladź;;31039;17416;16604;56,1101;53,494
12;małopolskie;1206;krakowski;1206092;gm.w Mogilany;Krakowski;14423;8012;7712;55,5502;53,4702
30;wielkopolskie;3021;poznański;3021123;gm.m-w. Pobiedziska;Poznański;19943;11397;10662;57,1479;53,4624
10;łódzkie;1063;Skierniewice;1063011;Skierniewice;;47655;26617;25477;55,8535;53,4613
30;wielkopolskie;3021;poznański;3021083;gm.m-w. Kostrzyn;Poznański;18764;10649;10020;56,7523;53,4001
12;małopolskie;1213;oświęcimski;1213011;Oświęcim;;37569;20837;20052;55,4633;53,3738
30;wielkopolskie;3021;poznański;3021093;gm.m-w. Kórnik;;30909;17351;16494;56,1358;53,3631
14;mazowieckie;1414;nowodworski;1414052;gm.w Pomiechówek;Warszawski;9086;5053;4845;55,613;53,3238
10;łódzkie;1020;zgierski;1020031;Zgierz;;55673;31294;29679;56,2104;53,3095
4;kujawsko-pomorskie;407;inowrocławski;407011;Inowrocław;;71674;39706;38170;55,3981;53,255
30;wielkopolskie;3021;poznański;3021033;gm.m-w. Buk;Poznański;12673;7339;6741;57,9105;53,1918
24;śląskie;2416;zawierciański;2416011;Poręba;Katowicki;8461;4670;4491;55,1944;53,0788
14;mazowieckie;1418;piaseczyński;1418052;gm.w Prażmów;Warszawski;11363;6352;6030;55,9007;53,067
12;małopolskie;1208;miechowski;1208042;gm.w Książ Wielki;Kielecki;5030;2839;2669;56,4414;53,0616
16;opolskie;1661;Opole;1661011;Opole;;127839;70578;67785;55,2085;53,0237
30;wielkopolskie;3021;poznański;3021113;gm.m-w. Murowana Goślina;Poznański;16942;9461;8983;55,8435;53,0221
30;wielkopolskie;3025;średzki;3025043;gm.m-w. Środa Wielkopolska;;32874;18569;17429;56,4854;53,0176
30;wielkopolskie;3024;szamotulski;3024053;gm.m-w. Ostroróg;Poznański;4931;2740;2614;55,5668;53,0116
14;mazowieckie;1418;piaseczyński;1418013;gm.m-w. Góra Kalwaria;Warszawski;27044;15029;14333;55,5724;52,9988
4;kujawsko-pomorskie;418;włocławski;418011;Kowal;Włocławski;3468;1910;1835;55,075;52,9123
24;śląskie;2465;Dąbrowa Górnicza;2465011;Dąbrowa Górnicza;;118285;65319;62481;55,2217;52,8224
22;pomorskie;2211;pucki;2211031;Puck;Gdański;11139;6155;5879;55,2563;52,7785
14;mazowieckie;1417;otwocki;1417021;Otwock;;44317;24724;23378;55,789;52,7518
4;kujawsko-pomorskie;403;bydgoski;403083;gm.m-w. Solec Kujawski;Bydgoski;16777;9196;8844;54,8131;52,715
28;warmińsko-mazurskie;2862;Olsztyn;2862011;Olsztyn;;171249;94323;90191;55,0794;52,6666
14;mazowieckie;1412;miński;1412011;Mińsk Mazowiecki;;40916;22857;21540;55,8632;52,6444
24;śląskie;2401;będziński;2401011;Będzin;;56008;30885;29485;55,1439;52,6443
30;wielkopolskie;3024;szamotulski;3024032;gm.w Kaźmierz;Poznański;8840;4882;4649;55,2262;52,5905
24;śląskie;2466;Gliwice;2466011;Gliwice;;177049;96690;93038;54,612;52,5493
32;zachodniopomorskie;3208;kołobrzeski;3208011;Kołobrzeg;;46198;25344;24272;54,8595;52,5391
24;śląskie;2405;gliwicki;2405032;gm.w Gierałtowice;Katowicki;12252;6709;6436;54,7584;52,5302
22;pomorskie;2204;gdański;2204032;gm.w Kolbudy;Gdański;18165;10147;9542;55,8602;52,5296
4;kujawsko-pomorskie;401;aleksandrowski;401011;Aleksandrów Kujawski;Włocławski;12058;6621;6333;54,9096;52,5211
