wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2649;2523;69,6922;66,3773
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1211977;1170188;67,551;65,2218
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;355444;342969;66,8068;64,462
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14751;14071;67,1385;64,0435
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;12946;12183;67,8476;63,8489
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;418187;404197;65,1455;62,9661
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;11952;11527;65,0945;62,7798
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2390;2253;66,0769;62,2892
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;15951;15257;64,7862;61,9674
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;498970;482606;63,9733;61,8753
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;54992;52956;63,7832;61,4218
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6038;5861;63,0601;61,2115
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;298502;288040;63,4025;61,1803
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;18930;18114;63,5939;60,8526
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;14904;14405;62,8436;60,7396
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11651;11226;62,9376;60,6417
