wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zsszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2655;2537;69,85;66,7456
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1215044;1174088;67,7219;65,4392
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;356447;344197;66,9953;64,6928
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14781;14125;67,275;64,2893
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;12976;12229;68,0048;64,0899
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2405;2300;66,4916;63,5886
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;419195;405531;65,3025;63,1739
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;11985;11567;65,2742;62,9977
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;15989;15305;64,9405;62,1624
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;500173;484270;64,1275;62,0886
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;55139;53180;63,9537;61,6816
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;299258;289073;63,563;61,3997
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6047;5878;63,154;61,389
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;18980;18177;63,7619;61,0643
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;14920;14463;62,9111;60,9841
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11694;11280;63,1698;60,9334
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17362;16774;62,6674;60,545
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3438;3319;62,5205;60,3564
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20038;19285;62,5894;60,2374
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;798;777;61,8605;60,2326
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14097;13585;62,4895;60,2199
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;17901;17218;61,924;59,5614
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;38617;37014;61,6658;59,1061
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13244;12748;61,2864;58,9912
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6433;6172;61,4774;58,9832
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21514;20785;60,9704;58,9044
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1465;1404;61,4256;58,8679
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;149932;144176;61,2045;58,8548
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6460;6209;61,1742;58,7973
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;9264;8882;61,2496;58,724
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;31744;30545;60,8053;58,5086
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;32485;31280;60,6867;58,4356
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;16319;15648;60,8645;58,3619
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;16794;16212;60,4536;58,3585
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14259;13822;60,19;58,3453
4;kujawsko-pomorskie;403;bydgoski;403062;gm.w Osielsko;Bydgoski;15347;9128;8920;59,4774;58,1221
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;13407;12874;60,5173;58,1114
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7294;7032;60,1716;58,0102
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11662;11187;60,3436;57,8857
24;śląskie;2469;Katowice;2469011;Katowice;;290553;173776;168151;59,8087;57,8727
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;17486;16934;59,6222;57,74
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;8617;8280;60,0362;57,6883
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2299;2219;59,6833;57,6064
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6501;6257;59,593;57,3563
10;łódzkie;1061;Łódź;1061011;Łódź;;672185;399633;385297;59,4528;57,3201
4;kujawsko-pomorskie;401;aleksandrowski;401021;Ciechocinek;Włocławski;10534;6196;6031;58,8191;57,2527
14;mazowieckie;1432;warszawski zachodni;1432072;gm.w Stare Babice;Warszawski;19605;11634;11187;59,342;57,062
14;mazowieckie;1408;legionowski;1408022;gm.w Jabłonna;Warszawski;20096;11852;11444;58,9769;56,9467
24;śląskie;2401;będziński;2401062;gm.w Psary;Katowicki;12268;7223;6973;58,8768;56,8389
14;mazowieckie;1412;miński;1412151;Sulejówek;Warszawski;19951;11708;11337;58,6838;56,8242
12;małopolskie;1206;krakowski;1206152;gm.w Wielka Wieś;Krakowski;13162;7745;7473;58,8436;56,7771
14;mazowieckie;1405;grodziski;1405011;Milanówek;Warszawski;16478;9728;9348;59,0363;56,7302
10;łódzkie;1002;kutnowski;1002011;Kutno;;43332;25527;24579;58,9103;56,7225
12;małopolskie;1213;oświęcimski;1213082;gm.w Przeciszów;Bielski;6739;3938;3819;58,436;56,6701
14;mazowieckie;1417;otwocki;1417011;Józefów;Warszawski;20741;12242;11747;59,0232;56,6366
14;mazowieckie;1408;legionowski;1408032;gm.w Nieporęt;Warszawski;14841;8785;8396;59,1941;56,573
14;mazowieckie;1432;warszawski zachodni;1432063;gm.m-w. Ożarów Mazowiecki;Warszawski;26151;15440;14782;59,0417;56,5256
30;wielkopolskie;3024;szamotulski;3024073;gm.m-w. Szamotuły;;30188;17766;17056;58,8512;56,4993
30;wielkopolskie;3021;poznański;3021072;gm.w Komorniki;;31474;18475;17776;58,6992;56,4784
24;śląskie;2401;będziński;2401031;Wojkowice;Katowicki;8877;5190;5013;58,4657;56,4718
32;zachodniopomorskie;3207;kamieński;3207013;gm.m-w. Dziwnów;Szczeciński;3939;2310;2224;58,6443;56,461
14;mazowieckie;1434;wołomiński;1434041;Zielonka;Warszawski;17486;10233;9840;58,5211;56,2736
30;wielkopolskie;3001;chodzieski;3001011;Chodzież;Pilski;18229;10660;10250;58,4782;56,2291
30;wielkopolskie;3021;poznański;3021123;gm.m-w. Pobiedziska;Poznański;19943;11781;11212;59,0734;56,2202
4;kujawsko-pomorskie;461;Bydgoszcz;461011;Bydgoszcz;;344091;199203;193397;57,8925;56,2052
14;mazowieckie;1414;nowodworski;1414011;Nowy Dwór Mazowiecki;Warszawski;28691;16808;16123;58,5828;56,1953
4;kujawsko-pomorskie;463;Toruń;463011;Toruń;;198613;114875;111477;57,8386;56,1277
12;małopolskie;1206;krakowski;1206103;gm.m-w. Skała;Krakowski;10553;6110;5920;57,8982;56,0978
30;wielkopolskie;3021;poznański;3021033;gm.m-w. Buk;Poznański;12673;7545;7100;59,536;56,0246
22;pomorskie;2208;lęborski;2208021;Łeba;Słupski;3541;2026;1983;57,2155;56,0011
14;mazowieckie;1432;warszawski zachodni;1432042;gm.w Leszno;Warszawski;10165;5935;5689;58,3866;55,9666
14;mazowieckie;1417;otwocki;1417043;gm.m-w. Karczew;Warszawski;15930;9359;8898;58,7508;55,8569
22;pomorskie;2204;gdański;2204011;Pruszcz Gdański;;31578;18361;17627;58,1449;55,8205
24;śląskie;2475;Sosnowiec;2475011;Sosnowiec;;197586;113742;110259;57,5658;55,803
30;wielkopolskie;3023;słupecki;3023011;Słupca;Koniński;13564;7813;7566;57,601;55,78
10;łódzkie;1004;łęczycki;1004011;Łęczyca;Płocki;13786;7933;7681;57,5439;55,7159
12;małopolskie;1208;miechowski;1208042;gm.w Książ Wielki;Kielecki;5030;2890;2793;57,4553;55,5268
12;małopolskie;1206;krakowski;1206162;gm.w Zabierzów;Krakowski;27065;15525;15024;57,3619;55,5108
30;wielkopolskie;3021;poznański;3021083;gm.m-w. Kostrzyn;Poznański;18764;10928;10413;58,2392;55,4946
30;wielkopolskie;3021;poznański;3021103;gm.m-w. Mosina;;33767;19418;18731;57,5058;55,4713
32;zachodniopomorskie;3211;policki;3211012;gm.w Dobra (Szczecińska);Szczeciński;25061;14371;13891;57,3441;55,4288
22;pomorskie;2212;słupski;2212011;Ustka;Słupski;15199;8756;8420;57,6091;55,3984
10;łódzkie;1005;łowicki;1005011;Łowicz;Skierniewicki;27896;16006;15452;57,3774;55,3915
2;dolnośląskie;223;wrocławski;223022;gm.w Długołęka;;35144;20151;19437;57,3384;55,3067
8;lubuskie;862;Zielona Góra;862011;Zielona Góra;;140892;80425;77873;57,0827;55,2714
30;wielkopolskie;3014;międzychodzki;3014012;gm.w Chrzypsko Wielkie;Poznański;3306;1905;1827;57,6225;55,2632
30;wielkopolskie;3021;poznański;3021093;gm.m-w. Kórnik;;30909;17690;17071;57,2325;55,2299
30;wielkopolskie;3025;średzki;3025043;gm.m-w. Środa Wielkopolska;;32874;19016;18153;57,8451;55,2199
10;łódzkie;1020;zgierski;1020031;Zgierz;;55673;31958;30697;57,403;55,138
32;zachodniopomorskie;3262;Szczecin;3262011;Szczecin;;398255;227557;219580;57,1385;55,1355
24;śląskie;2408;mikołowski;2408021;Mikołów;;41003;23295;22604;56,8129;55,1277
2;dolnośląskie;223;wrocławski;223083;gm.m-w. Siechnice;Wrocławski;24142;13845;13308;57,3482;55,1239
30;wielkopolskie;3024;szamotulski;3024053;gm.m-w. Ostroróg;Poznański;4931;2807;2716;56,9256;55,0801
10;łódzkie;1063;Skierniewice;1063011;Skierniewice;;47655;27153;26235;56,9783;55,0519
30;wielkopolskie;3021;poznański;3021113;gm.m-w. Murowana Goślina;Poznański;16942;9713;9324;57,3309;55,0348
24;śląskie;2401;będziński;2401021;Czeladź;;31039;17742;17077;57,1603;55,0179
12;małopolskie;1206;krakowski;1206092;gm.w Mogilany;Krakowski;14423;8181;7920;56,7219;54,9123
12;małopolskie;1213;oświęcimski;1213011;Oświęcim;;37569;21230;20596;56,5094;54,8218
14;mazowieckie;1418;piaseczyński;1418013;gm.m-w. Góra Kalwaria;Warszawski;27044;15313;14814;56,6225;54,7774
14;mazowieckie;1418;piaseczyński;1418052;gm.w Prażmów;Warszawski;11363;6486;6219;57,08;54,7303
4;kujawsko-pomorskie;407;inowrocławski;407011;Inowrocław;;71674;40593;39204;56,6356;54,6977
2;dolnośląskie;221;wałbrzyski;221031;Szczawno-Zdrój;Wałbrzyski;5534;3131;3024;56,5775;54,644
14;mazowieckie;1414;nowodworski;1414052;gm.w Pomiechówek;Warszawski;9086;5143;4960;56,6036;54,5895
24;śląskie;2465;Dąbrowa Górnicza;2465011;Dąbrowa Górnicza;;118285;66705;64550;56,3935;54,5716
10;łódzkie;1020;zgierski;1020011;Głowno;Łódzki;13961;8201;7617;58,7422;54,5591
14;mazowieckie;1417;otwocki;1417021;Otwock;;44317;25233;24157;56,9375;54,5096
24;śląskie;2416;zawierciański;2416011;Poręba;Katowicki;8461;4777;4607;56,459;54,4498
22;pomorskie;2211;pucki;2211031;Puck;Gdański;11139;6313;6062;56,6747;54,4214
22;pomorskie;2204;gdański;2204032;gm.w Kolbudy;Gdański;18165;10361;9882;57,0383;54,4013
30;wielkopolskie;3024;szamotulski;3024032;gm.w Kaźmierz;Poznański;8840;4999;4804;56,5498;54,3439
16;opolskie;1661;Opole;1661011;Opole;;127839;71764;69397;56,1362;54,2847
4;kujawsko-pomorskie;401;aleksandrowski;401011;Aleksandrów Kujawski;Włocławski;12058;6760;6545;56,0624;54,2793
14;mazowieckie;1412;miński;1412011;Mińsk Mazowiecki;;40916;23267;22198;56,8653;54,2526
24;śląskie;2401;będziński;2401011;Będzin;;56008;31513;30385;56,2652;54,2512
12;małopolskie;1215;suski;1215021;Sucha Beskidzka;Bielski;9044;5053;4902;55,8713;54,2017
28;warmińsko-mazurskie;2862;Olsztyn;2862011;Olsztyn;;171249;96199;92687;56,1749;54,1241
24;śląskie;2405;gliwicki;2405032;gm.w Gierałtowice;Katowicki;12252;6862;6630;56,0072;54,1136
2;dolnośląskie;206;karkonoski;206011;Karpacz;Jeleniogórski;4487;2520;2428;56,1622;54,1119
4;kujawsko-pomorskie;418;włocławski;418011;Kowal;Włocławski;3468;1950;1876;56,2284;54,0946
14;mazowieckie;1408;legionowski;1408043;gm.m-w. Serock;Warszawski;15363;8637;8307;56,2195;54,0715
4;kujawsko-pomorskie;403;bydgoski;403083;gm.m-w. Solec Kujawski;Bydgoski;16777;9350;9070;55,7311;54,0621
14;mazowieckie;1462;Płock;1462011;Płock;;118268;65926;63904;55,7429;54,0332
32;zachodniopomorskie;3208;kołobrzeski;3208011;Kołobrzeg;;46198;25826;24956;55,9029;54,0197
4;kujawsko-pomorskie;403;bydgoski;403012;gm.w Białe Błota;Bydgoski;23206;12939;12522;55,7571;53,9602
24;śląskie;2477;Tychy;2477011;Tychy;;126871;70895;68414;55,8796;53,9241
24;śląskie;2466;Gliwice;2466011;Gliwice;;177049;98360;95390;55,5552;53,8777
2;dolnośląskie;223;wrocławski;223012;gm.w Czernica;Wrocławski;17638;9806;9502;55,5959;53,8723
26;świętokrzyskie;2609;sandomierski;2609093;gm.m-w. Zawichost;Tarnobrzeski;4328;2411;2330;55,707;53,8355
30;wielkopolskie;3014;międzychodzki;3014043;gm.m-w. Sieraków;Poznański;8641;4888;4650;56,5675;53,8132
28;warmińsko-mazurskie;2803;działdowski;2803011;Działdowo;Ciechanowski;21145;11818;11377;55,8903;53,8047
12;małopolskie;1213;oświęcimski;1213072;gm.w Polanka Wielka;Bielski;4318;2396;2322;55,4887;53,7749
4;kujawsko-pomorskie;412;rypiński;412011;Rypin;Włocławski;15999;8869;8598;55,4347;53,7409
14;mazowieckie;1405;grodziski;1405043;gm.m-w. Grodzisk Mazowiecki;;49948;27800;26842;55,6579;53,7399
24;śląskie;2413;tarnogórski;2413072;gm.w Świerklaniec;Katowicki;12505;6922;6720;55,3539;53,7385
2;dolnośląskie;223;wrocławski;223043;gm.m-w. Kąty Wrocławskie;Wrocławski;26032;14552;13967;55,9004;53,6532
22;pomorskie;2211;pucki;2211043;gm.m-w. Władysławowo;Gdański;15293;8545;8205;55,8752;53,652
22;pomorskie;2203;człuchowski;2203011;Człuchów;Słupski;13479;7458;7229;55,3305;53,6316
24;śląskie;2401;będziński;2401073;gm.m-w. Siewierz;Katowicki;12387;6898;6643;55,6874;53,6288
14;mazowieckie;1434;wołomiński;1434031;Ząbki;;38546;21549;20671;55,9046;53,6268
8;lubuskie;811;żarski;811011;Łęknica;Zielonogórski;2396;1321;1284;55,1336;53,5893
12;małopolskie;1203;chrzanowski;1203033;gm.m-w. Chrzanów;;46321;25493;24816;55,0355;53,574
12;małopolskie;1213;oświęcimski;1213062;gm.w Oświęcim;Bielski;18629;10406;9971;55,8591;53,5241
30;wielkopolskie;3003;gnieźnieński;3003011;Gniezno;;67570;37586;36162;55,6253;53,5178
24;śląskie;2401;będziński;2401052;gm.w Mierzęcice;Katowicki;7623;4224;4077;55,4113;53,4829
24;śląskie;2474;Siemianowice Śląskie;2474011;Siemianowice Śląskie;;66270;36574;35423;55,1894;53,4525
10;łódzkie;1014;sieradzki;1014011;Sieradz;;41390;22775;22101;55,0254;53,397
26;świętokrzyskie;2602;jędrzejowski;2602023;gm.m-w. Jędrzejów;Kielecki;27715;15354;14789;55,3996;53,361
4;kujawsko-pomorskie;402;brodnicki;402011;Brodnica;Toruński;28701;15814;15303;55,0991;53,3187
24;śląskie;2402;bielski;2402022;gm.w Bestwina;Katowicki;11950;6623;6370;55,4226;53,3054
22;pomorskie;2211;pucki;2211052;gm.w Kosakowo;Gdański;16419;9121;8748;55,5515;53,2797
24;śląskie;2461;Bielsko-Biała;2461011;Bielsko-Biała;;169756;93790;90444;55,2499;53,2788
26;świętokrzyskie;2661;Kielce;2661011;Kielce;;193415;106832;102985;55,2346;53,2456
2;dolnośląskie;223;wrocławski;223092;gm.w Żórawina;Wrocławski;11406;6287;6073;55,1201;53,2439
4;kujawsko-pomorskie;411;radziejowski;411022;gm.w Bytoń;Włocławski;3411;1942;1816;56,9335;53,2395
10;łódzkie;1005;łowicki;1005092;gm.w Nieborów;Skierniewicki;9357;5197;4978;55,5413;53,2008
