wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2676;2572;70,4025;67,6664
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13183;12682;69,0897;66,464
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1223897;1185233;68,2154;66,0604
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;359108;347706;67,4954;65,3524
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2446;2361;67,6251;65,2751
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14928;14334;67,9441;65,2405
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;422315;409459;65,7885;63,7858
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12048;11665;65,6173;63,5314
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16067;15468;65,2573;62,8244
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;503681;489193;64,5773;62,7198
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;55596;53791;64,4838;62,3902
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6112;5938;63,8329;62,0157
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;301385;291773;64,0148;61,9732
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19127;18400;64,2557;61,8134
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15050;14640;63,4593;61,7305
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3487;3392;63,4115;61,6839
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11801;11409;63,7478;61,6303
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17532;16970;63,281;61,2525
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;804;787;62,3256;61,0078
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20193;19521;63,0736;60,9745
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14205;13747;62,9682;60,938
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18039;17401;62,4014;60,1944
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;38940;37519;62,1816;59,9125
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13363;12904;61,8371;59,7131
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6482;6245;61,9457;59,6808
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1475;1423;61,8449;59,6646
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;151078;145755;61,6723;59,4994
