wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;% zaszczepionych;% zaszczepionych pe�n� dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2679;2578;70,4815;67,8243
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13262;12707;69,5037;66,595
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1226396;1188290;68,3547;66,2308
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14983;14429;68,1944;65,6729
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;359864;348676;67,6375;65,5347
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2450;2365;67,7357;65,3857
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;423124;410534;65,9146;63,9533
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12072;11698;65,7481;63,7111
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16101;15540;65,3954;63,1169
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;504653;490476;64,7019;62,8843
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;55726;53964;64,6346;62,5909
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6121;5959;63,9269;62,235
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;302026;292576;64,151;62,1438
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19179;18478;64,4304;62,0755
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15063;14672;63,5141;61,8654
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11815;11440;63,8235;61,7978
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3495;3397;63,557;61,7749
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17571;17013;63,4218;61,4077
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20238;19579;63,2141;61,1557
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14256;13789;63,1943;61,1242
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;804;787;62,3256;61,0078
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18063;17439;62,4844;60,3259
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;39072;37663;62,3924;60,1424
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13409;12953;62,05;59,9398
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6489;6257;62,0126;59,7955
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1478;1424;61,9706;59,7065
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;9342;9029;61,7653;59,6959
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;151440;146233;61,8201;59,6945
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21736;21043;61,5995;59,6355
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6524;6296;61,7803;59,6212
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;32137;31076;61,5581;59,5257
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;32879;31787;61,4228;59,3828
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;16532;15894;61,659;59,2794
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;16950;16455;61,0151;59,2333
