wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2686;2590;70,6656;68,14
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13273;12731;69,5613;66,7208
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1228800;1191535;68,4886;66,4116
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2461;2387;68,0398;65,9939
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;14997;14480;68,2582;65,9051
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;360643;349648;67,7839;65,7174
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;424011;411643;66,0527;64,126
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12091;11746;65,8515;63,9726
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16130;15587;65,5132;63,3077
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;505565;491768;64,8189;63,0499
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;55839;54130;64,7656;62,7834
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6136;5979;64,0836;62,4439
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;302573;293290;64,2672;62,2954
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19214;18524;64,548;62,23
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15114;14726;63,7291;62,0931
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11841;11470;63,9639;61,9598
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3497;3401;63,5934;61,8476
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17611;17055;63,5661;61,5593
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20277;19644;63,3359;61,3587
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14302;13832;63,3982;61,3148
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;804;789;62,3256;61,1628
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18125;17488;62,6989;60,4954
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;39185;37795;62,5729;60,3532
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13448;13022;62,2304;60,2591
