wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;&_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2695;2606;70,9024;68,5609
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13344;12807;69,9334;67,1191
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1235692;1198767;68,8728;66,8147
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2496;2414;69,0075;66,7404
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;15095;14618;68,7042;66,5332
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;362547;351973;68,1418;66,1544
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;426003;414077;66,3631;64,5052
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12160;11819;66,2273;64,3701
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16216;15686;65,8625;63,7098
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;507656;494545;65,0869;63,406
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;56149;54498;65,1252;63,2103
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19345;18677;64,9881;62,744
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15200;14879;64,0918;62,7382
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;304132;295251;64,5983;62,712
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6168;6003;64,4178;62,6945
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11885;11536;64,2016;62,3163
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3533;3417;64,248;62,1386
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17728;17171;63,9884;61,978
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14391;13911;63,7927;61,665
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20380;19734;63,6577;61,6399
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;805;791;62,4031;61,3178
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18230;17629;63,0621;60,9831
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;39449;38027;62,9944;60,7237
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13532;13116;62,6192;60,6941
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6543;6326;62,5287;60,4549
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;9407;9120;62,195;60,2975
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;152582;147618;62,2862;60,2599
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1495;1437;62,6834;60,2516
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6587;6355;62,3769;60,1799
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;32392;31413;62,0465;60,1712
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;21903;21222;62,0728;60,1428
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;16671;16079;62,1774;59,9694
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;17104;16650;61,5695;59,9352
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;33123;32052;61,8786;59,8778
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;13690;13241;61,7947;59,768
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2370;2296;61,5265;59,6054
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14488;14109;61,1566;59,5568
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;8861;8526;61,7362;59,4022
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7403;7199;61,0708;59,3879
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11865;11473;61,394;59,3656
24;śląskie;2469;Katowice;2469011;Katowice;;290553;176606;171728;60,7827;59,1038
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;17805;17323;60,7099;59,0664
4;kujawsko-pomorskie;403;bydgoski;403062;gm.w Osielsko;Bydgoski;15347;9232;9037;60,1551;58,8845
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6635;6421;60,8213;58,8597
10;łódzkie;1061;Łódź;1061011;Łódź;;672185;406697;394304;60,5037;58,66
30;wielkopolskie;3021;poznański;3021123;gm.m-w. Pobiedziska;Poznański;19943;12112;11679;60,7331;58,5619
30;wielkopolskie;3024;szamotulski;3024073;gm.m-w. Szamotuły;;30188;18239;17677;60,418;58,5564
14;mazowieckie;1432;warszawski zachodni;1432072;gm.w Stare Babice;Warszawski;19605;11852;11450;60,454;58,4035
14;mazowieckie;1408;legionowski;1408022;gm.w Jabłonna;Warszawski;20096;12101;11725;60,216;58,3449
14;mazowieckie;1432;warszawski zachodni;1432063;gm.m-w. Ożarów Mazowiecki;Warszawski;26151;15771;15250;60,3074;58,3152
4;kujawsko-pomorskie;401;aleksandrowski;401021;Ciechocinek;Włocławski;10534;6271;6138;59,531;58,2685
10;łódzkie;1002;kutnowski;1002011;Kutno;;43332;25971;25192;59,9349;58,1372
12;małopolskie;1206;krakowski;1206152;gm.w Wielka Wieś;Krakowski;13162;7858;7646;59,7022;58,0915
14;mazowieckie;1405;grodziski;1405011;Milanówek;Warszawski;16478;9895;9572;60,0498;58,0896
30;wielkopolskie;3001;chodzieski;3001011;Chodzież;Pilski;18229;10928;10585;59,9484;58,0668
14;mazowieckie;1412;miński;1412151;Sulejówek;Warszawski;19951;11923;11575;59,7614;58,0171
14;mazowieckie;1417;otwocki;1417011;Józefów;Warszawski;20741;12475;12029;60,1466;57,9962
30;wielkopolskie;3021;poznański;3021072;gm.w Komorniki;;31474;18851;18253;59,8939;57,9939
32;zachodniopomorskie;3207;kamieński;3207013;gm.m-w. Dziwnów;Szczeciński;3939;2347;2284;59,5837;57,9843
24;śląskie;2401;będziński;2401062;gm.w Psary;Katowicki;12268;7367;7113;60,0505;57,9801
14;mazowieckie;1408;legionowski;1408032;gm.w Nieporęt;Warszawski;14841;8949;8602;60,2992;57,9611
14;mazowieckie;1414;nowodworski;1414011;Nowy Dwór Mazowiecki;Warszawski;28691;17158;16621;59,8027;57,9311
24;śląskie;2401;będziński;2401031;Wojkowice;Katowicki;8877;5291;5138;59,6035;57,8799
14;mazowieckie;1417;otwocki;1417043;gm.m-w. Karczew;Warszawski;15930;9587;9210;60,182;57,8154
14;mazowieckie;1434;wołomiński;1434041;Zielonka;Warszawski;17486;10463;10105;59,8364;57,7891
30;wielkopolskie;3021;poznański;3021033;gm.m-w. Buk;Poznański;12673;7726;7323;60,9643;57,7843
12;małopolskie;1213;oświęcimski;1213082;gm.w Przeciszów;Bielski;6739;4002;3894;59,3857;57,7831
22;pomorskie;2204;gdański;2204011;Pruszcz Gdański;;31578;18807;18240;59,5573;57,7617
14;mazowieckie;1432;warszawski zachodni;1432042;gm.w Leszno;Warszawski;10165;6069;5866;59,7049;57,7078
30;wielkopolskie;3023;słupecki;3023011;Słupca;Koniński;13564;7974;7798;58,788;57,4904
4;kujawsko-pomorskie;461;Bydgoszcz;461011;Bydgoszcz;;344091;202619;197521;58,8853;57,4037
4;kujawsko-pomorskie;463;Toruń;463011;Toruń;;198613;116775;113903;58,7952;57,3492
30;wielkopolskie;3021;poznański;3021083;gm.m-w. Kostrzyn;Poznański;18764;11152;10752;59,433;57,3012
10;łódzkie;1004;łęczycki;1004011;Łęczyca;Płocki;13786;8114;7885;58,8568;57,1957
12;małopolskie;1206;krakowski;1206103;gm.m-w. Skała;Krakowski;10553;6183;6029;58,59;57,1307
22;pomorskie;2212;słupski;2212011;Ustka;Słupski;15199;8966;8673;58,9907;57,063
30;wielkopolskie;3025;średzki;3025043;gm.m-w. Środa Wielkopolska;;32874;19343;18758;58,8398;57,0603
30;wielkopolskie;3021;poznański;3021103;gm.m-w. Mosina;;33767;19787;19259;58,5986;57,035
10;łódzkie;1020;zgierski;1020011;Głowno;Łódzki;13961;8440;7957;60,4541;56,9945
22;pomorskie;2208;lęborski;2208021;Łeba;Słupski;3541;2076;2018;58,6275;56,9896
30;wielkopolskie;3021;poznański;3021113;gm.m-w. Murowana Goślina;Poznański;16942;9990;9653;58,9659;56,9767
24;śląskie;2475;Sosnowiec;2475011;Sosnowiec;;197586;115666;112564;58,5396;56,9696
32;zachodniopomorskie;3211;policki;3211012;gm.w Dobra (Szczecińska);Szczeciński;25061;14638;14266;58,4095;56,9251
12;małopolskie;1206;krakowski;1206162;gm.w Zabierzów;Krakowski;27065;15783;15375;58,3152;56,8077
30;wielkopolskie;3021;poznański;3021093;gm.m-w. Kórnik;;30909;18065;17531;58,4458;56,7181
30;wielkopolskie;3014;międzychodzki;3014012;gm.w Chrzypsko Wielkie;Poznański;3306;1935;1875;58,5299;56,7151
10;łódzkie;1005;łowicki;1005011;Łowicz;Skierniewicki;27896;16303;15816;58,4421;56,6963
2;dolnośląskie;223;wrocławski;223083;gm.m-w. Siechnice;Wrocławski;24142;14134;13673;58,5453;56,6357
2;dolnośląskie;223;wrocławski;223022;gm.w Długołęka;;35144;20506;19893;58,3485;56,6043
8;lubuskie;862;Zielona Góra;862011;Zielona Góra;;140892;81891;79710;58,1232;56,5752
30;wielkopolskie;3024;szamotulski;3024053;gm.m-w. Ostroróg;Poznański;4931;2876;2789;58,3249;56,5605
32;zachodniopomorskie;3262;Szczecin;3262011;Szczecin;;398255;232109;225220;58,2815;56,5517
10;łódzkie;1020;zgierski;1020031;Zgierz;;55673;32592;31477;58,5418;56,5391
22;pomorskie;2211;pucki;2211031;Puck;Gdański;11139;6466;6286;58,0483;56,4324
24;śląskie;2408;mikołowski;2408021;Mikołów;;41003;23688;23103;57,7714;56,3447
