wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2713;2624;71,376;69,0345
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13455;13024;70,5152;68,2564
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2510;2437;69,3945;67,3763
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1242805;1207646;69,2692;67,3096
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;15238;14779;69,3551;67,2659
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;364800;354684;68,5652;66,6639
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;428364;416995;66,7308;64,9598
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12235;11899;66,6358;64,8058
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16328;15799;66,3174;64,1688
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;510397;498278;65,4384;63,8846
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;56522;54895;65,5578;63,6707
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19491;18857;65,4786;63,3487
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6215;6057;64,9086;63,2585
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;306010;297560;64,9972;63,2024
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15275;14974;64,408;63,1388
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11952;11630;64,5635;62,8241
