wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;&_zaszczepionych;%_zaszczepionych_pe�n�_dawk�
14;mazowieckie;1405;grodziski;1405021;Podkowa Leśna;Warszawski;3801;2719;2638;71,5338;69,4028
30;wielkopolskie;3024;szamotulski;3024083;gm.m-w. Wronki;Pilski;19081;13500;13128;70,751;68,8014
32;zachodniopomorskie;3208;kołobrzeski;3208072;gm.w Ustronie Morskie;Koszaliński;3617;2527;2462;69,8645;68,0675
14;mazowieckie;1421;pruszkowski;1421062;gm.w Raszyn;Warszawski;21971;15373;14896;69,9695;67,7985
14;mazowieckie;1465;Warszawa;1465011;M. St. Warszawa;;1794166;1247418;1214106;69,5263;67,6697
30;wielkopolskie;3064;Poznań;3064011;Poznań;;532048;366188;356426;68,8261;66,9913
2;dolnośląskie;264;Wrocław;264011;Wrocław;;641928;429885;419035;66,9678;65,2776
14;mazowieckie;1421;pruszkowski;1421042;gm.w Michałowice;Warszawski;18361;12275;11956;66,8537;65,1163
14;mazowieckie;1418;piaseczyński;1418023;gm.m-w. Konstancin-Jeziorna;Warszawski;24621;16395;15863;66,5895;64,4287
12;małopolskie;1261;Kraków;1261011;Kraków;;779966;512341;500583;65,6876;64,1801
14;mazowieckie;1418;piaseczyński;1418043;gm.m-w. Piaseczno;;86217;56732;55191;65,8014;64,0141
14;mazowieckie;1418;piaseczyński;1418032;gm.w Lesznowola;Warszawski;29767;19566;18977;65,7305;63,7518
30;wielkopolskie;3011;kościański;3011011;Kościan;Leszczyński;23716;15354;15071;64,7411;63,5478
22;pomorskie;2261;Gdańsk;2261011;Gdańsk;;470805;307270;299027;65,2648;63,514
30;wielkopolskie;3021;poznański;3021021;Puszczykowo;Poznański;9575;6239;6080;65,1593;63,4987
30;wielkopolskie;3021;poznański;3021152;gm.w Suchy Las;Poznański;18512;11979;11677;64,7094;63,078
14;mazowieckie;1432;warszawski zachodni;1432053;gm.m-w. Łomianki;Warszawski;27705;17919;17433;64,6779;62,9237
4;kujawsko-pomorskie;411;radziejowski;411011;Radziejów;Włocławski;5499;3568;3460;64,8845;62,9205
14;mazowieckie;1421;pruszkowski;1421011;Piastów;Warszawski;22559;14594;14161;64,6926;62,7732
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20572;19958;64,2574;62,3395
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;818;801;63,4109;62,093
30;wielkopolskie;3024;szamotulski;3024011;Obrzycko;Poznański;2385;1524;1474;63,8994;61,8029
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;39956;38652;63,804;61,7217
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18429;17841;63,7505;61,7165
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;13696;13321;63,3781;61,6428
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6605;6404;63,1212;61,2003
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;154397;149680;63,0272;61,1016
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;9533;9229;63,0281;61,0182
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;32770;31818;62,7706;60,947
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;22101;21491;62,6339;60,9052
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6640;6428;62,8788;60,8712
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;16845;16308;62,8263;60,8235
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;33448;32538;62,4858;60,7857
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;13843;13443;62,4853;60,6798
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;17304;16851;62,2894;60,6587
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;8974;8690;62,5235;60,5448
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2412;2326;62,6168;60,3842
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14615;14283;61,6927;60,2913
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;11980;11617;61,989;60,1107
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7453;7283;61,4833;60,0808
24;śląskie;2469;Katowice;2469011;Katowice;;290553;178223;173867;61,3392;59,84
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;18004;17535;61,3884;59,7893
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6689;6516;61,3163;59,7305
30;wielkopolskie;3024;szamotulski;3024073;gm.m-w. Szamotuły;;30188;18476;17991;61,2031;59,5965
30;wielkopolskie;3021;poznański;3021123;gm.m-w. Pobiedziska;Poznański;19943;12261;11872;61,4802;59,5297
10;łódzkie;1061;Łódź;1061011;Łódź;;672185;411021;399486;61,147;59,431
4;kujawsko-pomorskie;403;bydgoski;403062;gm.w Osielsko;Bydgoski;15347;9287;9109;60,5135;59,3536
14;mazowieckie;1432;warszawski zachodni;1432072;gm.w Stare Babice;Warszawski;19605;11990;11616;61,1579;59,2502
14;mazowieckie;1432;warszawski zachodni;1432063;gm.m-w. Ożarów Mazowiecki;Warszawski;26151;15987;15489;61,1334;59,2291
14;mazowieckie;1408;legionowski;1408022;gm.w Jabłonna;Warszawski;20096;12218;11881;60,7982;59,1212
14;mazowieckie;1417;otwocki;1417011;Józefów;Warszawski;20741;12640;12255;60,9421;59,0859
10;łódzkie;1002;kutnowski;1002011;Kutno;;43332;26300;25587;60,6942;59,0487
14;mazowieckie;1417;otwocki;1417043;gm.m-w. Karczew;Warszawski;15930;9698;9386;60,8788;58,9203
14;mazowieckie;1408;legionowski;1408032;gm.w Nieporęt;Warszawski;14841;9043;8742;60,9326;58,9044
30;wielkopolskie;3021;poznański;3021072;gm.w Komorniki;;31474;19070;18539;60,5897;58,9026
24;śląskie;2401;będziński;2401062;gm.w Psary;Katowicki;12268;7427;7225;60,5396;58,8931
24;śląskie;2401;będziński;2401031;Wojkowice;Katowicki;8877;5358;5222;60,3582;58,8262
30;wielkopolskie;3001;chodzieski;3001011;Chodzież;Pilski;18229;11033;10721;60,5244;58,8129
